Entry	RefSeq	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Proteomes	Organism (ID)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
Q87XE0	NP_793999.1;WP_005764738.1;	Q87XE0_PSESM	unreviewed	ABC transporter, periplasmic substrate-binding protein	PSPTO_4238	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	355	UP000002515: Chromosome	223283		periplasmic space [GO:0042597]		periplasmic space [GO:0042597]	GO:0042597
Q87XE1	NP_793998.1;WP_011104916.1;	Q87XE1_PSESM	unreviewed	Lipoprotein, putative	PSPTO_4237	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	152	UP000002515: Chromosome	223283					
Q87XE3	NP_793996.1;WP_005764742.1;	Q87XE3_PSESM	unreviewed	Membrane protein, putative	PSPTO_4235	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	344	UP000002515: Chromosome	223283	regulation of gene expression [GO:0010468]	membrane [GO:0016020]		membrane [GO:0016020]; regulation of gene expression [GO:0010468]	GO:0010468; GO:0016020
Q87XE4	NP_793995.1;WP_011104915.1;	Q87XE4_PSESM	unreviewed	Membrane protein TctA, putative	PSPTO_4234	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	504	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q87XE5	NP_793994.1;WP_005764744.1;	Q87XE5_PSESM	unreviewed	Membrane protein TctB, putative	PSPTO_4233	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	152	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q87XE6	NP_793993.1;WP_005764747.1;	Q87XE6_PSESM	unreviewed	TctC protein, putative	PSPTO_4232	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	325	UP000002515: Chromosome	223283					
Q87XE9	NP_793990.1;WP_005764752.1;	Q87XE9_PSESM	unreviewed	HDOD domain-containing protein	PSPTO_4229	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	273	UP000002515: Chromosome	223283					
Q87XF0	NP_793989.1;	Q87XF0_PSESM	unreviewed	Glycine cleavage T-protein	PSPTO_4228	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	315	UP000002515: Chromosome	223283	iron-sulfur cluster assembly [GO:0016226]			iron-sulfur cluster assembly [GO:0016226]	GO:0016226
Q87XF2	NP_793987.1;WP_011104913.1;	Q87XF2_PSESM	unreviewed	Toxin CptA	PSPTO_4226	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	154	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q87XF4	NP_793985.1;WP_003378493.1;	Q87XF4_PSESM	unreviewed	RNA polymerase sigma factor	rpoE PSPTO_4224	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	193	UP000002515: Chromosome	223283	DNA-templated transcription initiation [GO:0006352]		DNA binding [GO:0003677]; sigma factor activity [GO:0016987]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	GO:0003677; GO:0006352; GO:0016987
Q87XF5	NP_793984.1;WP_007246812.1;	Q87XF5_PSESM	unreviewed	Sigma factor algU negative regulatory protein MucA	mucA PSPTO_4223	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	196	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	sigma factor antagonist activity [GO:0016989]	plasma membrane [GO:0005886]; sigma factor antagonist activity [GO:0016989]	GO:0005886; GO:0016989
Q87XF6	NP_793983.1;WP_005764762.1;	Q87XF6_PSESM	unreviewed	Sigma factor algU regulatory protein MucB	mucB PSPTO_4222	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	318	UP000002515: Chromosome	223283	regulation of polysaccharide biosynthetic process [GO:0032885]	outer membrane-bounded periplasmic space [GO:0030288]	antisigma factor binding [GO:0045152]	outer membrane-bounded periplasmic space [GO:0030288]; antisigma factor binding [GO:0045152]; regulation of polysaccharide biosynthetic process [GO:0032885]	GO:0030288; GO:0032885; GO:0045152
Q87XG0	NP_793979.1;WP_007246809.1;	Q87XG0_PSESM	unreviewed	DUF4845 domain-containing protein	PSPTO_4218	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	125	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q87XG7	NP_793972.1;WP_005764773.1;	Q87XG7_PSESM	unreviewed	Lipoprotein, putative	PSPTO_4211	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	130	UP000002515: Chromosome	223283			cysteine-type endopeptidase inhibitor activity [GO:0004869]	cysteine-type endopeptidase inhibitor activity [GO:0004869]	GO:0004869
Q87XG9	NP_793970.1;WP_011104910.1;	Q87XG9_PSESM	unreviewed	Methylamine utilization protein	PSPTO_4209	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	223	UP000002515: Chromosome	223283					
Q87XH0	NP_793969.1;WP_005764775.1;	Q87XH0_PSESM	unreviewed	cyclic-guanylate-specific phosphodiesterase (EC 3.1.4.52)	PSPTO_4208	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	784	UP000002515: Chromosome	223283	signal transduction [GO:0007165]	membrane [GO:0016020]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]	membrane [GO:0016020]; cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; signal transduction [GO:0007165]	GO:0007165; GO:0016020; GO:0071111
Q87XH1	NP_793968.1;WP_005764776.1;	Q87XH1_PSESM	unreviewed	DUF3034 family protein	PSPTO_4207	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	291	UP000002515: Chromosome	223283					
Q87XH3	NP_793966.1;WP_010207837.1;	Q87XH3_PSESM	unreviewed	Transcriptional regulator, GntR family	PSPTO_4205	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	333	UP000002515: Chromosome	223283			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
Q87XH4	NP_793965.1;	Q87XH4_PSESM	unreviewed	Amidase family protein	PSPTO_4204	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	442	UP000002515: Chromosome	223283			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824
Q87XH5	NP_793964.1;WP_005764781.1;	Q87XH5_PSESM	unreviewed	Polysaccharide deacetylase family protein	PSPTO_4203	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	293	UP000002515: Chromosome	223283	carbohydrate metabolic process [GO:0005975]		hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; carbohydrate metabolic process [GO:0005975]	GO:0005975; GO:0016810
Q87XH6	NP_793963.1;WP_005764782.1;	Q87XH6_PSESM	unreviewed	Major facilitator family transporter	PSPTO_4202	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	446	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	carboxylic acid transmembrane transporter activity [GO:0046943]	plasma membrane [GO:0005886]; carboxylic acid transmembrane transporter activity [GO:0046943]	GO:0005886; GO:0046943
Q87XH7	NP_793962.1;WP_005764783.1;	Q87XH7_PSESM	unreviewed	Oxidoreductase, short chain dehydrogenase/reductase family	PSPTO_4201	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	253	UP000002515: Chromosome	223283			oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0016616
Q87XH9	NP_793960.1;WP_011104908.1;	Q87XH9_PSESM	unreviewed	Uncharacterized protein	PSPTO_4199	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	99	UP000002515: Chromosome	223283					
Q87XI0	NP_793959.1;WP_005764786.1;	Q87XI0_PSESM	unreviewed	Cobalamin synthesis protein/P47K family protein	PSPTO_4198	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	335	UP000002515: Chromosome	223283		cytoplasm [GO:0005737]	hydrolase activity [GO:0016787]	cytoplasm [GO:0005737]; hydrolase activity [GO:0016787]	GO:0005737; GO:0016787
Q87XI1	NP_793958.1;WP_005764787.1;	Q87XI1_PSESM	unreviewed	Extracellular solute-binding protein	PSPTO_4197	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	398	UP000002515: Chromosome	223283					
Q87XI2	NP_793957.1;	Q87XI2_PSESM	unreviewed	Glucose dehydrogenase	gcd PSPTO_4196	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	747	UP000002515: Chromosome	223283		membrane [GO:0016020]	quinone binding [GO:0048038]; quinoprotein glucose dehydrogenase activity [GO:0008876]	membrane [GO:0016020]; quinone binding [GO:0048038]; quinoprotein glucose dehydrogenase activity [GO:0008876]	GO:0008876; GO:0016020; GO:0048038
Q87XI3	NP_793956.1;	Q87XI3_PSESM	unreviewed	DUF2132 domain-containing protein	PSPTO_4195	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	122	UP000002515: Chromosome	223283			DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677
Q87XI4	NP_793955.1;WP_005764790.1;	Q87XI4_PSESM	unreviewed	Conserved domain protein	PSPTO_4194	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	219	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q87XI5	NP_793954.1;WP_011104905.1;	Q87XI5_PSESM	unreviewed	Iron utilization protein, putative	PSPTO_4193	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	255	UP000002515: Chromosome	223283			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
Q87XI6	NP_793953.1;WP_005764792.1;	Q87XI6_PSESM	unreviewed	Transcription regulator PadR N-terminal domain-containing protein	PSPTO_4192	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	199	UP000002515: Chromosome	223283					
Q87XI8	NP_793951.1;	Q87XI8_PSESM	unreviewed	Uncharacterized protein	PSPTO_4190	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	289	UP000002515: Chromosome	223283					
Q87XI9	NP_793950.1;WP_011104902.1;	Q87XI9_PSESM	unreviewed	Uncharacterized protein	PSPTO_4189	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	229	UP000002515: Chromosome	223283					
Q87XJ0	NP_793949.1;WP_011104901.1;	Q87XJ0_PSESM	unreviewed	Uncharacterized protein	PSPTO_4188	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	237	UP000002515: Chromosome	223283					
Q87XJ1	NP_793948.1;	Q87XJ1_PSESM	unreviewed	Uncharacterized protein	PSPTO_4187	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	217	UP000002515: Chromosome	223283					
Q87XJ2	NP_793947.1;WP_011104900.1;	Q87XJ2_PSESM	unreviewed	Uncharacterized protein	PSPTO_4186	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	226	UP000002515: Chromosome	223283					
Q87XJ3	NP_793946.1;WP_011104899.1;	Q87XJ3_PSESM	unreviewed	Membrane protein, putative	PSPTO_4185	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	376	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q87XJ4	NP_793945.1;	Q87XJ4_PSESM	unreviewed	Uncharacterized protein	PSPTO_4184	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	66	UP000002515: Chromosome	223283					
Q87XK0	NP_793939.1;WP_011104897.1;	Q87XK0_PSESM	unreviewed	Hydrolase, alpha/beta fold family	PSPTO_4178	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	330	UP000002515: Chromosome	223283	glycerolipid catabolic process [GO:0046503]		triacylglycerol lipase activity [GO:0004806]	triacylglycerol lipase activity [GO:0004806]; glycerolipid catabolic process [GO:0046503]	GO:0004806; GO:0046503
Q87XK1	NP_793938.1;WP_011104896.1;	Q87XK1_PSESM	unreviewed	2-hydroxychromene-2-carboxylate isomerase family protein	PSPTO_4177	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	215	UP000002515: Chromosome	223283			isomerase activity [GO:0016853]; oxidoreductase activity [GO:0016491]	isomerase activity [GO:0016853]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0016853
Q87XK2	NP_793937.1;WP_007246617.1;	Q87XK2_PSESM	unreviewed	Sigma-54 dependent transcriptional regulator/response regulator	PSPTO_4176	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	442	UP000002515: Chromosome	223283	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	GO:0000160; GO:0005524; GO:0006355; GO:0016887; GO:0043565
Q87XK4	NP_793935.1;WP_011104895.1;	Q87XK4_PSESM	unreviewed	Amino acid ABC transporter, ATP-binding protein	PSPTO_4174	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	244	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	plasma membrane [GO:0005886]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005886; GO:0015424; GO:0016887
Q87XK6	NP_793933.1;WP_004396522.1;	Q87XK6_PSESM	unreviewed	Amino acid ABC transporter, permease protein	PSPTO_4172	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	248	UP000002515: Chromosome	223283	amino acid transport [GO:0006865]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	transmembrane transporter activity [GO:0022857]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]	GO:0006865; GO:0022857; GO:0043190
Q87XK7	NP_793932.1;WP_011104894.1;	Q87XK7_PSESM	unreviewed	Amino acid ABC transporter, periplasmic amino acid-binding protein	PSPTO_4171	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	308	UP000002515: Chromosome	223283	amino acid transport [GO:0006865]	extracellular region [GO:0005576]; outer membrane-bounded periplasmic space [GO:0030288]		extracellular region [GO:0005576]; outer membrane-bounded periplasmic space [GO:0030288]; amino acid transport [GO:0006865]	GO:0005576; GO:0006865; GO:0030288
Q87XK9	NP_793930.1;WP_004396514.1;	Q87XK9_PSESM	unreviewed	Glycerol-3-phosphate regulon repressor	glpR PSPTO_4169	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	251	UP000002515: Chromosome	223283			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
Q87XL1	NP_793928.1;WP_004396504.1;	Q87XL1_PSESM	unreviewed	Glycerol uptake facilitator protein	glpF PSPTO_4167	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	285	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	glycerol channel activity [GO:0015254]	plasma membrane [GO:0005886]; glycerol channel activity [GO:0015254]	GO:0005886; GO:0015254
Q87XL2	NP_793927.1;	Q87XL2_PSESM	unreviewed	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	PSPTO_4166	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	156	UP000002515: Chromosome	223283	translation [GO:0006412]		aminoacyl-tRNA deacylase activity [GO:0002161]; lyase activity [GO:0016829]	aminoacyl-tRNA deacylase activity [GO:0002161]; lyase activity [GO:0016829]; translation [GO:0006412]	GO:0002161; GO:0006412; GO:0016829
Q87XL3	NP_793926.1;	Q87XL3_PSESM	unreviewed	ABC transporter, ATP-binding protein	PSPTO_4165	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	353	UP000002515: Chromosome	223283		ATP-binding cassette (ABC) transporter complex [GO:0043190]	ABC-type ferric iron transporter activity [GO:0015408]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type ferric iron transporter activity [GO:0015408]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0015408; GO:0016887; GO:0043190
Q87XL5	NP_793924.1;WP_007246626.1;	Q87XL5_PSESM	unreviewed	Methyl-accepting chemotaxis protein	PSPTO_4163	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	97	UP000002515: Chromosome	223283					
Q87XL6	NP_793923.1;	Q87XL6_PSESM	unreviewed	Oxidoreductase, molybdopterin-binding protein	PSPTO_4162	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	732	UP000002515: Chromosome	223283			iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0043546; GO:0046872; GO:0051536
Q87XL9	NP_793920.1;WP_004396478.1;	Q87XL9_PSESM	unreviewed	Bacterioferritin-associated ferredoxin	PSPTO_4159	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	72	UP000002515: Chromosome	223283			2 iron, 2 sulfur cluster binding [GO:0051537]	2 iron, 2 sulfur cluster binding [GO:0051537]	GO:0051537
Q87XM2	NP_793917.1;WP_005764856.1;	Q87XM2_PSESM	unreviewed	Sodium-type flagellar protein MotY, putative	PSPTO_4156	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	301	UP000002515: Chromosome	223283		cell outer membrane [GO:0009279]		cell outer membrane [GO:0009279]	GO:0009279
Q87XM4	NP_793915.1;WP_011104890.1;	Q87XM4_PSESM	unreviewed	Transcriptional regulator	PSPTO_4154	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	91	UP000002515: Chromosome	223283					
Q87XM5	NP_793914.1;	Q87XM5_PSESM	unreviewed	Uncharacterized protein	PSPTO_4153	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	132	UP000002515: Chromosome	223283					
Q87XM6	NP_793912.1;WP_002554843.1;	Q87XM6_PSESM	unreviewed	DNA-binding response regulator, LuxR family	PSPTO_4151	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	208	UP000002515: Chromosome	223283	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		DNA binding [GO:0003677]	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	GO:0000160; GO:0003677; GO:0006355
Q87XM7	NP_793911.1;	Q87XM7_PSESM	unreviewed	Uncharacterized protein	PSPTO_4150	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	120	UP000002515: Chromosome	223283					
Q87XM9	NP_793909.1;	Q87XM9_PSESM	unreviewed	Iron-sulfur cluster-binding protein	PSPTO_4148	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	291	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	GO:0005886; GO:0009055; GO:0046872; GO:0051539
Q87XN3	NP_793904.1;WP_003381534.1;	Q87XN3_PSESM	unreviewed	Uncharacterized protein	PSPTO_4143	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	72	UP000002515: Chromosome	223283					
Q87XN4	NP_793903.1;	Q87XN4_PSESM	unreviewed	Calcineurin-like phosphoesterase domain-containing protein	PSPTO_4142	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	218	UP000002515: Chromosome	223283			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
Q87XN5	NP_793902.1;WP_011104887.1;	Q87XN5_PSESM	unreviewed	Helicase domain protein	PSPTO_4141	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	836	UP000002515: Chromosome	223283			ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	GO:0003677; GO:0004386; GO:0005524; GO:0016887
Q87XN6	NP_793901.1;WP_007246637.1;	Q87XN6_PSESM	unreviewed	Amino acid ABC transporter, ATP-binding protein	PSPTO_4140	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	254	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	plasma membrane [GO:0005886]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005886; GO:0015424; GO:0016887
Q87XN7	NP_793900.1;WP_005764877.1;	Q87XN7_PSESM	unreviewed	Succinylglutamate desuccinylase/Aspartoacylase catalytic domain-containing protein	PSPTO_4139	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	372	UP000002515: Chromosome	223283			hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]	hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]	GO:0016788; GO:0046872
Q87XN9	NP_793898.1;	Q87XN9_PSESM	unreviewed	Amino acid ABC transporter, permease protein	PSPTO_4137	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	237	UP000002515: Chromosome	223283		ATP-binding cassette (ABC) transporter complex [GO:0043190]	transmembrane transporter activity [GO:0022857]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]	GO:0022857; GO:0043190
Q87XP0	NP_793897.1;WP_003381525.1;	Q87XP0_PSESM	unreviewed	Amino acid ABC transporter, periplasmic amino acid-binding protein	PSPTO_4136	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	260	UP000002515: Chromosome	223283		cell envelope [GO:0030313]		cell envelope [GO:0030313]	GO:0030313
Q87XP2	NP_793895.1;WP_011104885.1;	Q87XP2_PSESM	unreviewed	mRNA 3''''-end processing factor	PSPTO_4134	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	348	UP000002515: Chromosome	223283			RNA endonuclease activity [GO:0004521]	RNA endonuclease activity [GO:0004521]	GO:0004521
Q87XP4	NP_793893.1;WP_003381514.1;	Q87XP4_PSESM	unreviewed	Repressor protein c2, putative	PSPTO_4132	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	217	UP000002515: Chromosome	223283			DNA binding [GO:0003677]	DNA binding [GO:0003677]	GO:0003677
Q87XP5	NP_793892.1;WP_005764890.1;	Q87XP5_PSESM	unreviewed	DUF1654 domain-containing protein	PSPTO_4131	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	83	UP000002515: Chromosome	223283					
Q87XP6	NP_793891.1;WP_005764898.1;	Q87XP6_PSESM	unreviewed	Water stress and hypersensitive response domain-containing protein	PSPTO_4130	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	164	UP000002515: Chromosome	223283	response to desiccation [GO:0009269]			response to desiccation [GO:0009269]	GO:0009269
Q87XP7	NP_793890.1;WP_005764901.1;	Q87XP7_PSESM	unreviewed	Uncharacterized protein	PSPTO_4129	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	183	UP000002515: Chromosome	223283					
Q87XP8	NP_793889.1;WP_011104883.1;	Q87XP8_PSESM	unreviewed	TonB-dependent siderophore receptor	PSPTO_4128	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	811	UP000002515: Chromosome	223283		cell outer membrane [GO:0009279]	siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]	GO:0009279; GO:0015344; GO:0038023
Q87XP9	NP_793888.1;WP_005764906.1;	Y4127_PSESM	reviewed	UPF0225 protein PSPTO_4127	PSPTO_4127	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	157	UP000002515: Chromosome	223283					
Q87XQ0	NP_793887.1;WP_003381502.1;	Q87XQ0_PSESM	unreviewed	LysR family transcriptional regulator	PSPTO_4126	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	165	UP000002515: Chromosome	223283					
Q87XQ1	NP_793886.1;WP_005764909.1;	Q87XQ1_PSESM	unreviewed	DUF1145 domain-containing protein	PSPTO_4125	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	91	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q87XQ2	NP_793885.1;WP_003381499.1;	Q87XQ2_PSESM	unreviewed	Collagen-like protein	PSPTO_4124	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	252	UP000002515: Chromosome	223283					
Q87XQ3	NP_793884.1;WP_005619985.1;	Q87XQ3_PSESM	unreviewed	Purine nucleoside permease, putative	PSPTO_4123	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	343	UP000002515: Chromosome	223283	nucleoside metabolic process [GO:0009116]; transmembrane transport [GO:0055085]		catalytic activity [GO:0003824]	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]; transmembrane transport [GO:0055085]	GO:0003824; GO:0009116; GO:0055085
Q87XQ4	NP_793883.1;	Q87XQ4_PSESM	unreviewed	Nucleoside-specific channel-forming protein	tsk PSPTO_4122	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	304	UP000002515: Chromosome	223283		cell outer membrane [GO:0009279]	nucleoside transmembrane transporter activity [GO:0005337]	cell outer membrane [GO:0009279]; nucleoside transmembrane transporter activity [GO:0005337]	GO:0005337; GO:0009279
Q87XQ5	NP_793882.1;WP_005619982.1;	Q87XQ5_PSESM	unreviewed	Copper resistance protein D domain-containing protein	PSPTO_4121	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	154	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
