WP_RefSeq PSPTO uniprot
WP_011103494.1 PSPTO1271 Q887M0
WP_003375972.1 PSPTO1272 Q887L9
WP_005764084.1 PSPTO1273 Q887L8
WP_005764082.1 PSPTO1274 Q887L7
WP_046463296.1 PSPTO1275 Q887L6
WP_005764078.1 PSPTO1276 Q887L5
WP_011103496.1 PSPTO1277 Q887L4
WP_005764073.1 PSPTO1278 Q887L3
WP_005764071.1 PSPTO1279 NA
WP_007244904.1 PSPTO1280 Q887L2
WP_005764067.1 PSPTO1281 Q887L1
WP_003375928.1 PSPTO1282 Q887L0
WP_044390979.1 PSPTO1283 Q887K9
WP_005764059.1 PSPTO1284 Q887K8
WP_010201831.1 PSPTO1285 Q887K7
WP_005764054.1 PSPTO1286 Q887K6
WP_003375919.1 PSPTO1287 Q887K5
WP_005764053.1 PSPTO1288 Q887K4
WP_005764052.1 PSPTO1289 Q887K3
WP_005764051.1 PSPTO1290 Q887K2
WP_011103499.1 PSPTO1291 Q887K1
WP_005736422.1 PSPTO1292 Q887K0
WP_003375907.1 PSPTO1293 Q887J9
WP_005615493.1 PSPTO1294 Q887J8
WP_005764049.1 PSPTO1295 Q887J7
WP_005736419.1 PSPTO1296 Q887J6
WP_005764048.1 PSPTO1298 Q887J4
WP_003375897.1 PSPTO1299 Q887J3
WP_003375894.1 PSPTO1300 Q887J2
WP_005764047.1 PSPTO1301 Q887J1
WP_005764046.1 PSPTO1302 Q887J0
WP_005764045.1 PSPTO1303 Q887I9
WP_005615514.1 PSPTO1304 Q887I8
WP_011103501.1 PSPTO1305 Q887I7
WP_005764043.1 PSPTO1306 Q887I6
WP_005764042.1 PSPTO1307 Q887I5
WP_011103502.1 PSPTO1308 Q887I4
WP_011103503.1 PSPTO1309 Q887I3
WP_007247571.1 PSPTO1310 NA
WP_005764038.1 PSPTO1311 Q887I2
WP_007244885.1 PSPTO1312 Q887I1
WP_011103504.1 PSPTO1313 Q887I0
 partial;pseudo;PSPTO1314 NA
WP_007247571.1 PSPTO1315 NA
 partial;pseudo;PSPTO1316 NA
WP_010208763.1 PSPTO1317 Q887H9
WP_007244881.1 PSPTO1318 Q887H8
WP_003375863.1 PSPTO1319 Q887H7
WP_005764030.1 PSPTO1320 Q887H6
WP_007244879.1 PSPTO1322 Q887H4
WP_003375857.1 PSPTO1323 Q887H3
WP_005764026.1 PSPTO1324 Q887H2
WP_005764024.1 PSPTO1325 Q887H1
WP_007244877.1 PSPTO1326 Q887H0
WP_005615570.1 PSPTO1327 Q887G9
WP_003375849.1 PSPTO1328 Q887G8
WP_003375846.1 PSPTO1329 Q887G7
WP_005764019.1 PSPTO1330 Q887G6
WP_032640254.1 PSPTO1331 Q887G5
WP_011103508.1 PSPTO1332 Q887G4
WP_011103509.1 PSPTO1333 Q887G3
WP_011103510.1 PSPTO1334 Q887G2
WP_011103511.1 PSPTO1335 Q887G1
WP_010204178.1 PSPTO1336 Q887G0
WP_011103512.1 PSPTO1337 Q887F9
WP_011103513.1 PSPTO1338 Q887F8
WP_005763992.1 PSPTO1339 Q887F7
WP_010204183.1 PSPTO1340 Q887F6
WP_011103515.1 PSPTO1341 Q887F5
WP_046463279.1 PSPTO1342 Q887F4
WP_011103517.1 PSPTO1343 Q887F3
WP_005763983.1 PSPTO1344 Q887F2
WP_046463280.1 PSPTO1345 Q887F1
WP_011103519.1 PSPTO1346 Q887F0
WP_044391022.1 PSPTO1347 Q887E9
WP_044391024.1 PSPTO1348 Q887E8
WP_046463281.1 PSPTO1349 Q887E7
WP_005763971.1 PSPTO1350 Q887E6
WP_005763969.1 PSPTO1351 Q887E5
WP_005763967.1 PSPTO1352 Q887E4
WP_011103523.1 PSPTO1353 Q887E3
WP_005763961.1 PSPTO1354 Q887E2
WP_005763959.1 PSPTO1355 Q887E1
WP_005615650.1 PSPTO1356 Q887E0
WP_011103524.1 PSPTO1357 Q887D9
WP_005763952.1 PSPTO1358 Q887D8
WP_005763950.1 PSPTO1359 Q887D7
WP_011103525.1 PSPTO1360 Q887D6
WP_011103526.1 PSPTO1361 Q887D5
WP_011103527.1 PSPTO1362 Q887D4
WP_007244847.1 PSPTO1363 Q887D3
WP_005763941.1 PSPTO1364 G3XDB6
WP_005763940.1 PSPTO1365 G3XDD4
WP_011103528.1 PSPTO1367 G3XDC2
WP_005763934.1 PSPTO1368 G3XDD2
WP_005736349.1 PSPTO1369 G3XDC3
WP_005763932.1 PSPTO1370 G3XDC5
WP_005763930.1 PSPTO1371 Q887D1
WP_024667710.1 PSPTO1372 G3XDB9
WP_005763926.1 PSPTO1373 Q7C4I5
WP_011103530.1 PSPTO1374 G3XDC1
WP_005763919.1 PSPTO1375 Q887D0
WP_005763915.1 PSPTO1376 G3XDD6
WP_011103532.1 PSPTO1377 Q887C9
WP_005763910.1 PSPTO1378 G3XDB7
WP_011103533.1 PSPTO1379 Q887C8
WP_005763906.1 PSPTO1380 Q887C7
WP_005763904.1 PSPTO1381 Q52473
WP_005763902.1 PSPTO1382 Q887C6
WP_005763898.1 PSPTO1383 G3XDB4
WP_005763897.1 PSPTO1384 G3XDC8
WP_005763896.1 PSPTO1385 Q887C5
WP_007244829.1 PSPTO1386 Q887C4
WP_003375722.1 PSPTO1387 Q887C3
WP_005763889.1 PSPTO1388 Q887C2
WP_007244827.1 PSPTO1389 Q887C1
WP_005763882.1 PSPTO1390 G3XDC0
WP_007244826.1 PSPTO1391 Q887C0
WP_003375716.1 PSPTO1392 Q887B9
WP_005763879.1 PSPTO1393 G3XDD0
WP_003375712.1 PSPTO1394 G3XDB8
WP_003375709.1 PSPTO1395 Q887B8
WP_005763877.1 PSPTO1396 Q9F0H3
WP_011103535.1 PSPTO1397 Q887B7
WP_011103536.1 PSPTO1398 G3XDD5
WP_011103537.1 PSPTO1399 Q887B6
WP_005763862.1 PSPTO1400 Q887B5
WP_005763855.1 PSPTO1401 G3XDC9
WP_007244820.1 PSPTO1402 Q887B4
WP_005615731.1 PSPTO1403 G3XDD1
WP_011103538.1 PSPTO1404 G3XDC4
WP_011103539.1 PSPTO1405 G3XDB3
WP_011103540.1 PSPTO1406 G3XDC6
 partial;pseudo;PSPTO1407 NA
WP_005763843.1 PSPTO1409 Q887B2
WP_011103544.1 PSPTO1410 G3XDB5
WP_046463820.1 PSPTO1411 Q887B1
WP_005771042.1 PSPTO1412 Q9L6W9
WP_005736309.1 PSPTO1413 Q887B0
WP_002552468.1 PSPTO1414 Q887A9
WP_005771039.1 PSPTO1415 Q887A8
WP_003380592.1 PSPTO1416 Q887A7
WP_007247086.1 PSPTO1417 Q887A6
WP_003408269.1 PSPTO1418 NA
WP_003380594.1 PSPTO1419 Q887A5
WP_005771034.1 PSPTO1420 Q887A4
WP_005771032.1 PSPTO1421 Q887A3
WP_003380601.1 PSPTO1422 Q887A2
WP_005771029.1 PSPTO1423 Q887A1
WP_003380603.1 PSPTO1424 Q887A0
WP_003380604.1 PSPTO1425 Q886Z9
WP_005771027.1 PSPTO1426 Q886Z8
WP_011103546.1 PSPTO1427 Q886Z7
WP_005615771.1 PSPTO1428 Q886Z6
WP_005771023.1 PSPTO1429 Q886Z5
WP_002552482.1 PSPTO1430 Q886Z4
WP_005771021.1 PSPTO1431 Q886Z3
WP_005771019.1 PSPTO1432 Q886Z2
WP_005771017.1 PSPTO1433 Q886Z1
WP_003380613.1 PSPTO1434 Q886Z0
WP_011103548.1 PSPTO1435 Q886Y9
WP_011103549.1 PSPTO1436 Q886Y8
WP_005771013.1 PSPTO1437 Q886Y7
WP_003380618.1 PSPTO1438 Q886Y6
WP_003408269.1 PSPTO1439 NA
WP_005771011.1 PSPTO1440 Q886Y5
WP_011103550.1 PSPTO1441 Q886Y4
WP_011103551.1 PSPTO1443 Q886Y2
WP_003380623.1 PSPTO1444 Q886Y1
WP_005771007.1 PSPTO1445 Q886Y0
WP_161797807.1 PSPTO1446 Q886X9
WP_162491766.1 PSPTO1447 Q886X8
WP_005771002.1 PSPTO1448 Q886X7
WP_003380633.1 PSPTO1449 Q886X6
WP_005771001.1 PSPTO1450 Q886X5
WP_011103555.1 PSPTO1451 Q886X4
WP_011103557.1 PSPTO1453 Q886X2
WP_011103558.1 PSPTO1454 Q886X1
WP_046463912.1 PSPTO1455 Q886X0
WP_011103560.1 PSPTO1456 Q886W9
WP_007247479.1 PSPTO1457 Q886W8
WP_080546580.1 PSPTO1458 Q886W7
WP_011103562.1 PSPTO1459 Q886W6
WP_005771691.1 PSPTO1460 Q886W5
WP_005771689.1 PSPTO1461 Q886W4
WP_011103564.1 PSPTO1462 Q886W3
WP_011103566.1 PSPTO1464 Q886W1
WP_005615845.1 PSPTO1465 Q886W0
WP_005771683.1 PSPTO1466 Q886V9
WP_005765859.1 PSPTO1467 Q886V8
WP_005765861.1 PSPTO1468 Q886V7
WP_011103567.1 PSPTO1469 Q886V6
WP_007245369.1 PSPTO1470 Q886V5
WP_005765867.1 PSPTO1471 Q886V4
WP_007245370.1 PSPTO1472 Q886V3
WP_003377687.1 PSPTO1473 Q886V2
WP_005765872.1 PSPTO1474 Q886V1
WP_005765874.1 PSPTO1475 Q886V0
WP_002552524.1 PSPTO1476 Q886U9
WP_054082654.1 PSPTO1477 NA
WP_005765876.1 PSPTO1478 Q886U8
WP_007245372.1 PSPTO1479 Q886U7
WP_005765880.1 PSPTO1480 Q886U6
WP_011103569.1 PSPTO1481 Q886U5
WP_046463398.1 PSPTO1482 Q886U4
WP_161797770.1 PSPTO1483 Q886U3
WP_005765888.1 PSPTO1484 Q886U2
WP_007245377.1 PSPTO1485 Q886U1
WP_005765892.1 PSPTO1486 Q886U0
WP_003377703.1 PSPTO1487 Q886T9
WP_011103574.1 PSPTO1488 Q886T8
WP_011103575.1 PSPTO1489 Q886T7
WP_011103576.1 PSPTO1490 Q886T6
WP_005765900.1 PSPTO1491 Q886T5
WP_011103577.1 PSPTO1492 Q886T4
WP_005765904.1 PSPTO1493 Q886T3
WP_003377717.1 PSPTO1494 Q886T2
WP_011103578.1 PSPTO1495 Q886T1
WP_005765908.1 PSPTO1496 Q886T0
WP_011103579.1 PSPTO1497 Q886S9
WP_005765912.1 PSPTO1498 Q886S8
WP_005765914.1 PSPTO1499 Q886S7
WP_096059895.1 PSPTO1500 D3NQ16
WP_005765916.1 PSPTO1501 Q886S6
WP_024657440.1 PSPTO1502 Q886S5
WP_005765921.1 PSPTO1503 Q886S4
WP_007245391.1 PSPTO1504 Q886S3
WP_011103581.1 PSPTO1505 Q886S2
WP_005765926.1 PSPTO1506 Q886S1
WP_005765928.1 PSPTO1507 Q886S0
WP_011103582.1 PSPTO1508 Q886R9
WP_011103583.1 PSPTO1509 Q886R8
WP_005765933.1 PSPTO1510 Q886R7
WP_003377747.1 PSPTO1511 Q886R6
WP_010201379.1 PSPTO1512 Q886R5
WP_005765937.1 PSPTO1513 Q886R4
WP_005765940.1 PSPTO1514 Q886R3
WP_005765943.1 PSPTO1515 Q886R2
 partial;pseudo;PSPTO1516 NA
 partial;pseudo;PSPTO1517 NA
WP_005765949.1 PSPTO1518 Q886Q9
WP_005765951.1 PSPTO1519 Q886Q8
WP_007245401.1 PSPTO1520 Q886Q7
WP_005765957.1 PSPTO1521 Q886Q6
WP_005615949.1 PSPTO1522 Q886Q5
WP_005765961.1 PSPTO1523 Q886Q4
WP_011103586.1 PSPTO1524 Q886Q3
WP_011103587.1 PSPTO1525 Q886Q2
WP_011103588.1 PSPTO1526 Q886Q1
WP_011103589.1 PSPTO1527 Q886Q0
WP_003377783.1 PSPTO1528 Q886P9
WP_003377785.1 PSPTO1529 Q886P8
WP_011103590.1 PSPTO1530 Q886P7
WP_011103591.1 PSPTO1531 Q886P6
WP_007245412.1 PSPTO1532 Q886P5
WP_005765976.1 PSPTO1533 Q886P4
WP_005615972.1 PSPTO1534 Q886P3
WP_005765978.1 PSPTO1535 Q886P2
WP_002554728.1 PSPTO1536 Q886P1
WP_005765982.1 PSPTO1537 Q886P0
WP_005765985.1 PSPTO1538 Q886N9
WP_011103592.1 PSPTO1539 Q886N8
WP_005765988.1 PSPTO1540 Q886N7
WP_011103593.1 PSPTO1541 Q886N6
WP_007245414.1 PSPTO1542 Q886N5
WP_002554721.1 PSPTO1543 Q886N4
WP_005765994.1 PSPTO1544 Q886N3
WP_003377815.1 PSPTO1545 Q886N2
WP_011103594.1 PSPTO1546 Q886N1
WP_011103595.1 PSPTO1547 Q886N0
WP_005765997.1 PSPTO1548 Q886M9
WP_011103596.1 PSPTO1549 Q886M8
WP_003377825.1 PSPTO1550 Q886M7
WP_044390753.1 PSPTO1551 Q886M6
WP_003377829.1 PSPTO1552 Q886M5
WP_003377831.1 PSPTO1553 Q886M4
WP_005766003.1 PSPTO1554 Q886M3
WP_003377835.1 PSPTO1555 Q886M2
WP_005766007.1 PSPTO1556 Q886M1
WP_003377838.1 PSPTO1557 Q886M0
WP_005766009.1 PSPTO1558 Q886L9
WP_005766011.1 PSPTO1559 Q886L8
WP_005766012.1 PSPTO1560 Q886L7
WP_011103598.1 PSPTO1561 Q886L6
WP_005766014.1 PSPTO1562 Q886L5
WP_005766015.1 PSPTO1563 Q886L4
WP_005766016.1 PSPTO1564 Q886L3
WP_005616022.1 PSPTO1565 G3XDD3
WP_054082654.1 PSPTO1567 NA
WP_011103600.1 PSPTO1568 Q886L1
WP_010202284.1 PSPTO1570 Q886K9
WP_011103602.1 PSPTO1571 Q886K8
WP_226992686.1 PSPTO1572 Q886K7
WP_011103604.1 PSPTO1573 Q886K6
WP_011103605.1 PSPTO1574 Q886K5
WP_011103606.1 PSPTO1575 Q886K4
WP_011103608.1 PSPTO1577 Q886K2
WP_011103609.1 PSPTO1578 Q886K1
WP_011103610.1 PSPTO1579 Q886K0
WP_011103611.1 PSPTO1580 Q886J9
WP_011103613.1 PSPTO1582 Q886J7
WP_005767529.1 PSPTO1583 Q886J6
WP_005767531.1 PSPTO1584 Q886J5
WP_011103614.1 PSPTO1585 Q886J4
WP_005616197.1 PSPTO1587 Q886J2
WP_005767535.1 PSPTO1588 Q886J1
WP_011103617.1 PSPTO1589 Q886J0
WP_003382526.1 PSPTO1590 Q886I9
WP_005767540.1 PSPTO1592 Q886I7
WP_005740539.1 PSPTO1593 Q886I6
WP_005767545.1 PSPTO1594 Q886I5
WP_005767547.1 PSPTO1596 Q886I3
WP_005767549.1 PSPTO1597 Q886I2
WP_007245711.1 PSPTO1598 Q886I1
WP_024667376.1 PSPTO1599 Q886I0
WP_011103622.1 PSPTO1600 Q886H9
WP_011103623.1 PSPTO1601 Q886H8
WP_005616222.1 PSPTO1602 Q886H7
WP_011103625.1 PSPTO1604 Q886H5
WP_005767564.1 PSPTO1605 Q886H4
WP_005767567.1 PSPTO1606 Q886H3
WP_011103626.1 PSPTO1607 Q886H2
WP_011103627.1 PSPTO1608 Q886H1
WP_005767572.1 PSPTO1609 Q886H0
WP_011103628.1 PSPTO1610 Q886G9
WP_005767577.1 PSPTO1612 Q886G7
WP_161797814.1 PSPTO1613 Q886G6
WP_046463930.1 PSPTO1614 Q886G5
WP_011103631.1 PSPTO1615 Q886G4
WP_011103632.1 PSPTO1616 Q886G3
WP_011103633.1 PSPTO1617 Q886G2
WP_011103634.1 PSPTO1618 Q886G1
WP_005767592.1 PSPTO1619 Q886G0
WP_005767596.1 PSPTO1620 Q886F9
WP_007245694.1 PSPTO1621 Q886F8
WP_005767600.1 PSPTO1622 Q886F7
WP_002552552.1 PSPTO1623 Q886F6
WP_010202721.1 PSPTO1624 Q886F5
WP_002552554.1 PSPTO1625 Q886F4
WP_005767605.1 PSPTO1626 Q886F3
WP_005767607.1 PSPTO1627 Q886F2
WP_011103636.1 PSPTO1628 Q886F1
WP_003381023.1 PSPTO1629 Q886F0
WP_004879420.1 PSPTO1630 Q886E9
WP_005767612.1 PSPTO1631 Q886E8
WP_005767614.1 PSPTO1632 Q886E7
WP_011103637.1 PSPTO1633 Q886E6
WP_011103638.1 PSPTO1634 Q886E5
WP_005767619.1 PSPTO1635 Q886E4
WP_046463929.1 PSPTO1636 Q886E3
WP_011103640.1 PSPTO1637 Q886E2
WP_011103641.1 PSPTO1638 Q886E1
WP_011103642.1 PSPTO1639 Q886E0
WP_011103643.1 PSPTO1640 Q886D9
WP_225982977.1 PSPTO1641 Q886D8
WP_011103644.1 PSPTO1642 Q886D7
WP_005767637.1 PSPTO1643 Q886D6
WP_007245677.1 PSPTO1644 Q886D5
WP_003381003.1 PSPTO1645 Q886D4
WP_046463928.1 PSPTO1646 Q886D3
WP_011103647.1 PSPTO1648 Q886D1
WP_011103648.1 PSPTO1649 Q886D0
WP_046463927.1 PSPTO1650 Q886C9
WP_011103650.1 PSPTO1651 Q886C8
WP_011103651.1 PSPTO1652 Q886C7
WP_011103652.1 PSPTO1653 Q886C6
WP_011103653.1 PSPTO1654 Q886C5
WP_011103654.1 PSPTO1655 Q886C4
WP_011103655.1 PSPTO1656 Q886C3
WP_226992688.1 PSPTO1657 Q886C2
WP_005741073.1 PSPTO1658 NA
WP_002551322.1 PSPTO1659 NA
WP_161797813.1 PSPTO1660 Q886C1
WP_005766612.1 PSPTO1661 Q886C0
WP_005766613.1 PSPTO1663 Q886B8
WP_005766614.1 PSPTO1664 Q886B7
WP_011103658.1 PSPTO1665 Q886B6
WP_011103659.1 PSPTO1666 Q886B5
WP_011103660.1 PSPTO1667 Q886B4
WP_011103662.1 PSPTO1669 Q886B2
WP_011103663.1 PSPTO1670 Q886B1
WP_005766620.1 PSPTO1671 Q886B0
WP_005766623.1 PSPTO1672 Q886A9
WP_046463925.1 PSPTO1673 Q886A8
WP_011103665.1 PSPTO1674 Q886A7
WP_200836485.1 PSPTO1675 Q886A6
WP_226992699.1 PSPTO1676 Q886A5
WP_005766631.1 PSPTO1677 Q886A4
WP_005766633.1 PSPTO1678 Q886A3
WP_003381559.1 PSPTO1679 Q886A2
WP_005739017.1 PSPTO1680 Q886A1
WP_005766635.1 PSPTO1682 Q885Z9
WP_005766637.1 PSPTO1683 Q885Z8
WP_011103669.1 PSPTO1684 Q885Z7
WP_011103670.1 PSPTO1685 Q885Z6
WP_003381567.1 PSPTO1686 Q885Z5
WP_011103671.1 PSPTO1687 Q885Z4
WP_005739010.1 PSPTO1688 Q885Z3
WP_011103672.1 PSPTO1689 Q885Z2
WP_005766645.1 PSPTO1690 Q885Z1
WP_011103673.1 PSPTO1691 Q885Z0
WP_005616363.1 PSPTO1692 Q885Y9
WP_011103674.1 PSPTO1693 Q885Y8
WP_007247360.1 PSPTO1694 Q885Y7
WP_011103676.1 PSPTO1695 Q885Y6
WP_005616372.1 PSPTO1696 Q885Y5
WP_003381582.1 PSPTO1697 Q885Y4
WP_003381583.1 PSPTO1698 Q885Y3
WP_005766657.1 PSPTO1699 Q885Y2
WP_003381585.1 PSPTO1700 Q885Y1
WP_011103677.1 PSPTO1701 Q885Y0
WP_005616381.1 PSPTO1702 Q885X9
WP_003381589.1 PSPTO1703 Q885X8
WP_005766661.1 PSPTO1704 Q885X7
WP_044393666.1 PSPTO1705 Q885X6
WP_005766666.1 PSPTO1706 Q885X5
WP_005766669.1 PSPTO1707 Q885X4
WP_005766671.1 PSPTO1708 Q885X3
WP_005766673.1 PSPTO1709 Q885X2
WP_005766675.1 PSPTO1710 Q885X1
WP_011103680.1 PSPTO1711 Q885X0
WP_011103681.1 PSPTO1712 Q885W9
WP_005766682.1 PSPTO1713 Q885W8
WP_005766684.1 PSPTO1714 Q885W7
WP_005766686.1 PSPTO1715 Q885W6
WP_005766688.1 PSPTO1716 Q885W5
WP_011103682.1 PSPTO1717 Q885W4
WP_161797812.1 PSPTO1718 Q885W3
WP_011103684.1 PSPTO1719 Q885W2
WP_046463934.1 PSPTO1720 Q885W1
WP_005766701.1 PSPTO1722 Q885V9
WP_163004347.1 PSPTO1724 Q885V7
WP_003378919.1 PSPTO1725 Q885V6
WP_005766707.1 PSPTO1726 Q885V5
WP_005766709.1 PSPTO1728 Q885V3
WP_005766711.1 PSPTO1729 Q885V2
WP_011103689.1 PSPTO1730 Q885V1
WP_005766716.1 PSPTO1731 Q885V0
WP_003314637.1 PSPTO1732 Q885U9
WP_003378929.1 PSPTO1733 Q885U8
WP_005766720.1 PSPTO1734 Q885U7
WP_011103690.1 PSPTO1735 Q885U6
WP_161797811.1 PSPTO1736 Q885U5
WP_011103691.1 PSPTO1737 Q885U4
WP_005766727.1 PSPTO1738 Q885U3
WP_005766730.1 PSPTO1739 Q885U2
WP_007245137.1 PSPTO1740 Q885U1
WP_011103692.1 PSPTO1741 Q885U0
WP_005766737.1 PSPTO1742 Q885T9
WP_005766740.1 PSPTO1743 Q885T8
WP_005766742.1 PSPTO1744 Q885T7
WP_005766744.1 PSPTO1745 Q885T6
WP_005766746.1 PSPTO1746 Q885T5
WP_005616461.1 PSPTO1747 Q885T4
WP_005766747.1 PSPTO1748 Q885T3
WP_005616463.1 PSPTO1749 Q885T2
WP_002554562.1 PSPTO1750 Q885T1
WP_002554561.1 PSPTO1751 Q885T0
WP_005766750.1 PSPTO1752 Q885S9
WP_005766752.1 PSPTO1753 Q885S8
WP_011103695.1 PSPTO1754 Q885S7
WP_011103696.1 PSPTO1755 Q885S6
WP_011103697.1 PSPTO1756 Q885S5
WP_005766760.1 PSPTO1757 Q885S4
WP_005766763.1 PSPTO1758 Q885S3
WP_161797809.1 PSPTO1759 Q885S2
WP_011103699.1 PSPTO1760 Q885S1
WP_002554553.1 PSPTO1761 Q885S0
WP_005766772.1 PSPTO1762 Q885R9
WP_005766774.1 PSPTO1763 Q885R8
WP_005766776.1 PSPTO1764 Q885R7
WP_003373297.1 PSPTO1765 Q885R6
WP_011103700.1 PSPTO1766 Q885R5
WP_005766782.1 PSPTO1767 Q885R4
WP_003373291.1 PSPTO1768 Q885R3
WP_011103701.1 PSPTO1769 Q885R2
WP_005766786.1 PSPTO1770 Q885R1
WP_046463922.1 PSPTO1771 Q885R0
WP_005766790.1 PSPTO1772 Q885Q9
WP_005766792.1 PSPTO1773 Q885Q8
WP_007245115.1 PSPTO1775 Q885Q6
WP_005766795.1 PSPTO1776 Q885Q5
WP_005766796.1 PSPTO1777 Q885Q4
WP_004397849.1 PSPTO1778 Q885Q3
WP_004657364.1 PSPTO1779 Q885Q2
WP_005766799.1 PSPTO1780 Q885Q1
WP_004397843.1 PSPTO1781 Q885Q0
WP_005766801.1 PSPTO1782 Q885P9
WP_005766802.1 PSPTO1783 Q885P8
WP_005766803.1 PSPTO1784 Q885P7
WP_032621400.1 PSPTO1785 Q885P6
WP_005766806.1 PSPTO1786 Q885P5
WP_007245106.1 PSPTO1787 Q885P4
WP_172679478.1 PSPTO1788 Q885P3
WP_011103704.1 PSPTO1789 Q885P2
WP_005766812.1 PSPTO1790 Q885P1
WP_011103705.1 PSPTO1791 Q885P0
WP_011103706.1 PSPTO1792 Q885N9
WP_011103707.1 PSPTO1793 Q885N8
WP_005767686.1 PSPTO1794 Q885N7
WP_011103708.1 PSPTO1795 Q885N6
WP_005767688.1 PSPTO1796 Q885N5
WP_005767689.1 PSPTO1797 Q885N4
WP_005767690.1 PSPTO1798 Q885N3
WP_011103709.1 PSPTO1799 Q885N2
WP_005767692.1 PSPTO1800 Q885N1
WP_011103710.1 PSPTO1801 Q885N0
WP_005767695.1 PSPTO1802 Q885M9
WP_011103711.1 PSPTO1803 Q885M8
WP_005767699.1 PSPTO1805 Q885M6
WP_004396544.1 PSPTO1806 Q885M5
WP_005767701.1 PSPTO1807 Q885M4
WP_005767703.1 PSPTO1808 Q885M3
WP_004396551.1 PSPTO1809 Q885M2
WP_005767709.1 PSPTO1810 Q885M1
WP_004396553.1 PSPTO1811 Q885M0
WP_004396554.1 PSPTO1812 Q885L9
WP_005767714.1 PSPTO1813 Q885L8
WP_005767718.1 PSPTO1815 B1GRJ9
WP_005767720.1 PSPTO1817 Q885L5
WP_005767723.1 PSPTO1818 Q885L4
WP_005767725.1 PSPTO1819 Q885L3
WP_005767727.1 PSPTO1820 Q885L2
WP_005616592.1 PSPTO1821 Q885L1
WP_005767729.1 PSPTO1822 Q885L0
WP_005767731.1 PSPTO1823 Q885K9
WP_005740605.1 PSPTO1824 Q885K8
WP_007245081.1 PSPTO1825 Q885K7
WP_005767735.1 PSPTO1826 Q885K6
WP_005740602.1 PSPTO1827 Q885K5
WP_011103715.1 PSPTO1828 Q885K4
WP_005767739.1 PSPTO1829 Q885K3
WP_011103716.1 PSPTO1830 Q885K2
WP_005740596.1 PSPTO1831 Q885K1
WP_011103718.1 PSPTO1832 Q885K0
WP_005616608.1 PSPTO1833 Q885J9
WP_007245075.1 PSPTO1834 Q885J8
WP_161797808.1 PSPTO1835 Q885J7
WP_011103720.1 PSPTO1836 Q885J6
WP_005767756.1 PSPTO1838 Q885J4
WP_005616613.1 PSPTO1839 Q885J3
WP_011103722.1 PSPTO1841 Q885J1
WP_011103723.1 PSPTO1842 Q885J0
WP_005731386.1 PSPTO1843 Q885I9
WP_002554426.1 PSPTO1844 P69921
WP_007245069.1 PSPTO1845 Q885I8
WP_005767763.1 PSPTO1846 Q885I7
WP_002554423.1 PSPTO1847 Q885I6
WP_057443210.1 PSPTO1848 Q885I5
WP_164923173.1 PSPTO1850 Q885I3
WP_164923174.1 PSPTO1851 Q885I2
WP_011103728.1 PSPTO1852 Q885I1
WP_011103730.1 PSPTO1854 Q885H9
WP_226992700.1 PSPTO1855 Q885H8
WP_011103732.1 PSPTO1856 Q885H7
WP_046463917.1 PSPTO1857 Q885H6
WP_011103734.1 PSPTO1858 Q885H5
WP_011103735.1 PSPTO1859 Q885H4
WP_032640304.1 PSPTO1860 Q885H3
WP_007245058.1 PSPTO1861 Q885H2
WP_005767792.1 PSPTO1862 Q885H1
WP_011103736.1 PSPTO1863 Q885H0
WP_011103737.1 PSPTO1864 Q885G9
WP_005767796.1 PSPTO1865 Q885G8
WP_005767798.1 PSPTO1866 Q885G7
 pseudo;PSPTO1867 NA
WP_011103738.1 PSPTO1868 Q885G6
WP_005767805.1 PSPTO1869 Q885G5
WP_011103739.1 PSPTO1870 Q885G4
WP_011103740.1 PSPTO1871 Q885G3
WP_046463915.1 PSPTO1873 Q885G1
WP_005767814.1 PSPTO1874 Q885G0
WP_005767816.1 PSPTO1875 Q885F9
WP_159229444.1 PSPTO1878 Q885F7
 partial;pseudo;PSPTO1879 NA
WP_005767820.1 PSPTO1880 Q885F5
WP_011103748.1 PSPTO1881 Q885F4
WP_005767827.1 PSPTO1882 Q885F3
WP_005767830.1 PSPTO1883 Q885F2
WP_024666576.1 PSPTO1884 Q885F1
WP_005616684.1 PSPTO1885 Q885F0
WP_011103750.1 PSPTO1886 Q885E9
WP_005767834.1 PSPTO1887 Q885E8
WP_005767836.1 PSPTO1888 Q885E7
WP_011103752.1 PSPTO1889 Q885E6
WP_005767839.1 PSPTO1890 Q885E5
WP_005767841.1 PSPTO1891 Q885E4
WP_011103753.1 PSPTO1892 Q885E3
WP_011103754.1 PSPTO1893 Q885E2
WP_011103755.1 PSPTO1894 Q885E1
WP_005767847.1 PSPTO1895 Q885E0
WP_007245030.1 PSPTO1896 Q885D9
WP_011103756.1 PSPTO1897 Q885D8
WP_005767853.1 PSPTO1898 Q885D7
WP_011103757.1 PSPTO1899 Q885D6
WP_011103759.1 PSPTO1901 Q885D4
WP_011103760.1 PSPTO1902 Q885D3
WP_011103761.1 PSPTO1903 Q885D2
WP_159229446.1 PSPTO1904 Q885D1
WP_011103763.1 PSPTO1906 Q885C9
WP_011103764.1 PSPTO1907 Q885C8
WP_007244403.1 PSPTO1908 Q885C7
WP_005771604.1 PSPTO1909 Q885C6
WP_007244400.1 PSPTO1910 Q885C5
WP_011103766.1 PSPTO1911 Q885C4
WP_005771596.1 PSPTO1912 Q885C3
