qseqid,sseqid,pident,alen,qlen,slen,evalue,bits,cov_q,cov_s
WP_005770064.1,DAKCFMEO_03838,49.4,255,263,263,5.2e-68,252.3,0.969582,0.969582
WP_005770064.1,DAKCFMEO_00924,38.3,243,263,263,1.5e-38,154.5,0.923954,0.923954
WP_005770064.1,DAKCFMEO_01234,37.3,233,263,277,4.7e-37,149.4,0.885932,0.841155
WP_005770064.1,DAKCFMEO_04183,32.2,245,263,329,4.1e-25,109.8,0.931559,0.744681
WP_005770064.1,DAKCFMEO_05158,31.9,226,263,326,1.0e-23,105.1,0.859316,0.693252
WP_005770064.1,DAKCFMEO_01044,34.1,208,263,249,1.3e-23,104.8,0.790875,0.835341
WP_005770064.1,DAKCFMEO_01167,30.4,230,263,368,2.3e-23,104.0,0.874525,0.625
WP_005770064.1,DAKCFMEO_02090,31.3,214,263,276,5.1e-23,102.8,0.813688,0.775362
WP_005770064.1,DAKCFMEO_01408,31.9,248,263,259,4.3e-22,99.8,0.942966,0.957529
WP_005770064.1,DAKCFMEO_00164,32.3,226,263,358,5.6e-22,99.4,0.859316,0.631285
WP_005770064.1,DAKCFMEO_00173,30.4,224,263,244,5.6e-22,99.4,0.851711,0.918033
WP_005770064.1,DAKCFMEO_01326,30.7,228,263,368,1.2e-21,98.2,0.86692,0.619565
WP_005770064.1,DAKCFMEO_02024,30.4,237,263,380,1.2e-21,98.2,0.901141,0.623684
WP_005770064.1,DAKCFMEO_03805,32.0,231,263,337,1.2e-21,98.2,0.878327,0.68546
WP_005770064.1,DAKCFMEO_01385,30.1,209,263,336,1.8e-20,94.4,0.794677,0.622024
WP_005770069.1,DAKCFMEO_03684,85.7,230,230,230,2.0e-108,386.3,1,1
WP_005770073.1,DAKCFMEO_03682,89.9,337,337,337,4.5e-173,601.7,1,1
WP_005770073.1,DAKCFMEO_03933,32.4,340,337,333,2.1e-29,124.4,1.0089,1.02102
WP_005770073.1,DAKCFMEO_05243,30.3,244,337,319,1.6e-13,71.6,0.724036,0.76489
WP_005770075.1,DAKCFMEO_03681,91.2,398,398,398,5.0e-200,691.4,1,1
WP_005770075.1,DAKCFMEO_04451,31.1,386,398,398,2.6e-39,157.5,0.969849,0.969849
WP_005770077.1,DAKCFMEO_03680,83.1,65,65,65,5.1e-25,107.5,1,1
WP_005770079.1,DAKCFMEO_03679,82.5,126,126,126,1.2e-54,206.8,1,1
WP_005770081.1,DAKCFMEO_03678,86.2,731,732,732,0.0e+00,1216.1,0.998634,0.998634
WP_005770081.1,DAKCFMEO_02565,34.1,742,732,817,4.9e-92,333.6,1.01366,0.908201
WP_005770081.1,DAKCFMEO_02084,35.1,716,732,745,1.0e-89,325.9,0.978142,0.961074
WP_005770081.1,DAKCFMEO_01203,33.6,542,732,641,2.6e-61,231.5,0.740437,0.845554
WP_005770081.1,DAKCFMEO_00688,30.4,559,732,688,2.1e-42,168.7,0.763661,0.8125
WP_005770083.1,DAKCFMEO_03677,90.2,133,133,133,4.2e-66,245.0,1,1
WP_005770083.1,DAKCFMEO_02083,36.2,130,133,148,3.6e-17,82.4,0.977444,0.878378
WP_005770085.1,DAKCFMEO_03676,98.9,272,298,298,3.2e-151,528.9,0.912752,0.912752
WP_005770090.1,DAKCFMEO_03673,75.8,483,465,483,2.2e-210,726.1,1.03871,1
WP_005770099.1,DAKCFMEO_03668,90.1,101,101,101,3.0e-48,185.3,1,1
WP_005770108.1,DAKCFMEO_03597,90.3,238,238,238,5.1e-115,408.3,1,1
WP_005770109.1,DAKCFMEO_03596,90.8,120,120,120,6.2e-53,201.1,1,1
WP_005770111.1,DAKCFMEO_03595,84.1,151,151,151,4.0e-73,268.5,1,1
WP_005770114.1,DAKCFMEO_03594,93.2,575,575,575,2.7e-146,513.5,1,1
WP_005770116.1,DAKCFMEO_03593,89.7,213,213,213,7.8e-107,380.9,1,1
WP_005770118.1,DAKCFMEO_03592,83.0,94,94,98,2.8e-40,158.7,1,0.959184
WP_005770120.1,DAKCFMEO_03590,93.3,449,449,449,4.2e-251,861.3,1,1
WP_005770120.1,DAKCFMEO_00395,30.9,366,449,486,3.4e-43,170.6,0.815145,0.753086
WP_005770129.1,DAKCFMEO_03587,85.3,292,287,292,1.2e-139,490.3,1.01742,1
WP_005770132.1,DAKCFMEO_03585,92.0,213,215,215,1.0e-106,380.6,0.990698,0.990698
WP_005770134.1,DAKCFMEO_03582,87.7,244,243,245,1.3e-126,446.8,1.00412,0.995918
WP_005770159.1,DAKCFMEO_00553,76.1,117,117,117,5.5e-38,151.4,1,1
WP_005770161.1,DAKCFMEO_00554,83.5,164,165,166,8.8e-74,270.8,0.993939,0.987952
WP_005770183.1,DAKCFMEO_00559,95.1,325,325,325,3.5e-175,608.6,1,1
WP_005770183.1,DAKCFMEO_00200,38.1,320,325,339,3.2e-43,170.2,0.984615,0.943953
WP_005770183.1,DAKCFMEO_01616,30.2,368,325,353,3.7e-31,130.2,1.13231,1.04249
WP_005770183.1,DAKCFMEO_01197,32.7,294,325,402,4.5e-29,123.2,0.904615,0.731343
WP_005770185.1,DAKCFMEO_00561,96.4,691,691,691,0.0e+00,1295.4,1,1
WP_005770186.1,DAKCFMEO_00562,80.3,122,122,122,3.7e-53,201.8,1,1
WP_005770187.1,DAKCFMEO_00563,96.9,455,455,455,1.3e-252,866.3,1,1
WP_005770190.1,DAKCFMEO_00566,80.5,77,77,77,4.3e-31,127.9,1,1
WP_005770191.1,DAKCFMEO_00567,90.6,374,374,374,1.5e-193,669.8,1,1
WP_005770220.1,DAKCFMEO_00576,93.3,419,427,419,7.8e-215,740.7,0.981265,1
WP_005770225.1,DAKCFMEO_00578,93.9,329,329,329,1.4e-184,639.8,1,1
WP_005770235.1,DAKCFMEO_00583,84.8,421,424,425,6.3e-209,721.1,0.992925,0.990588
WP_005770243.1,DAKCFMEO_04789,83.2,220,220,220,9.9e-97,347.4,1,1
WP_005770245.1,DAKCFMEO_04790,79.3,363,380,363,3.0e-170,592.4,0.955263,1
WP_005770270.1,DAKCFMEO_03843,70.8,312,317,313,8.3e-121,427.9,0.984227,0.996805
WP_005770289.1,DAKCFMEO_00256,77.2,101,111,103,4.3e-40,158.3,0.90991,0.980583
WP_005770289.1,DAKCFMEO_04061,73.2,97,111,100,5.8e-37,147.9,0.873874,0.97
WP_005770293.1,DAKCFMEO_01005,75.9,145,148,148,2.3e-57,216.1,0.97973,0.97973
WP_005770308.1,DAKCFMEO_00830,95.9,245,245,245,2.5e-133,469.2,1,1
WP_005770308.1,DAKCFMEO_04474,64.5,245,245,253,7.6e-90,324.7,1,0.968379
WP_005770308.1,DAKCFMEO_04834,54.3,243,245,286,3.9e-70,259.2,0.991837,0.84965
WP_005770308.1,DAKCFMEO_00098,35.6,253,245,255,2.8e-39,156.8,1.03265,0.992157
WP_005770308.1,DAKCFMEO_04001,36.0,253,245,264,6.8e-38,152.1,1.03265,0.958333
WP_005770308.1,DAKCFMEO_04864,31.4,280,245,291,1.2e-34,141.4,1.14286,0.962199
WP_005770310.1,DAKCFMEO_00831,93.4,377,380,379,8.2e-192,664.1,0.992105,0.994723
WP_005770310.1,DAKCFMEO_04473,54.1,342,380,387,3.4e-97,349.7,0.9,0.883721
WP_005770310.1,DAKCFMEO_04833,35.2,364,380,354,9.5e-55,208.8,0.957895,1.02825
WP_005770312.1,DAKCFMEO_00832,96.0,300,300,300,1.7e-155,543.1,1,1
WP_005770312.1,DAKCFMEO_04472,54.9,293,300,305,7.9e-89,321.6,0.976667,0.960656
WP_005770312.1,DAKCFMEO_04866,30.1,292,300,304,1.2e-25,111.7,0.973333,0.960526
WP_005770316.1,DAKCFMEO_00834,92.1,382,382,382,2.7e-211,728.8,1,1
WP_005770316.1,DAKCFMEO_00833,35.2,361,382,393,1.2e-65,245.0,0.945026,0.918575
WP_005770316.1,DAKCFMEO_04831,33.1,375,382,421,2.2e-59,224.2,0.981675,0.890736
WP_005770316.1,DAKCFMEO_04471,32.8,366,382,414,4.3e-55,209.9,0.958115,0.884058
WP_005770393.1,DAKCFMEO_04171,84.0,156,160,156,3.7e-77,282.0,0.975,1
WP_005770403.1,DAKCFMEO_04163,88.8,197,197,197,4.0e-105,375.2,1,1
WP_005770416.1,DAKCFMEO_04154,83.1,160,158,160,4.6e-72,265.0,1.01266,1
WP_005770425.1,DAKCFMEO_04148,98.2,281,281,281,2.6e-158,552.4,1,1
WP_005770431.1,DAKCFMEO_04141,94.2,1156,1157,1157,0.0e+00,2122.8,0.999136,0.999136
WP_005770433.1,DAKCFMEO_04140,92.6,621,624,624,0.0e+00,1146.3,0.995192,0.995192
WP_005770435.1,DAKCFMEO_04139,96.8,311,315,324,2.8e-153,535.8,0.987302,0.959877
WP_005770437.1,DAKCFMEO_04138,96.4,306,306,306,2.1e-166,579.3,1,1
WP_005770439.1,DAKCFMEO_04134,71.2,118,131,131,1.5e-44,173.3,0.900763,0.900763
WP_005770446.1,DAKCFMEO_04132,73.5,151,171,178,1.6e-62,233.4,0.883041,0.848315
WP_005770450.1,DAKCFMEO_04131,91.8,257,257,255,3.4e-125,442.2,1,1.00784
WP_005770450.1,DAKCFMEO_00546,43.1,204,257,205,7.3e-43,168.7,0.793774,0.995122
WP_005770450.1,DAKCFMEO_01934,33.8,210,257,224,1.6e-21,97.8,0.817121,0.9375
WP_005770452.1,DAKCFMEO_04130,91.2,147,150,150,1.9e-75,276.2,0.98,0.98
WP_005770454.1,DAKCFMEO_04129,81.4,113,113,111,2.0e-45,176.0,1,1.01802
WP_005770456.1,DAKCFMEO_04128,93.5,123,123,127,1.7e-61,229.6,1,0.968504
WP_005770458.1,DAKCFMEO_04127,93.4,590,590,590,0.0e+00,1092.0,1,1
WP_005770460.1,DAKCFMEO_04126,96.1,693,704,693,0.0e+00,1296.6,0.984375,1
WP_005770464.1,DAKCFMEO_04183,92.6,326,329,329,4.5e-170,591.7,0.990881,0.990881
WP_005770464.1,DAKCFMEO_01326,46.0,337,329,368,2.1e-74,273.9,1.02432,0.915761
WP_005770464.1,DAKCFMEO_02846,43.7,318,329,374,1.6e-63,237.7,0.966565,0.850267
WP_005770464.1,DAKCFMEO_02928,39.1,343,329,343,1.8e-62,234.2,1.04255,1
WP_005770464.1,DAKCFMEO_01102,46.7,259,329,384,3.1e-62,233.4,0.787234,0.674479
WP_005770464.1,DAKCFMEO_02024,48.8,240,329,380,9.0e-62,231.9,0.729483,0.631579
WP_005770464.1,DAKCFMEO_05158,42.4,304,329,326,2.2e-60,227.3,0.924012,0.932515
WP_005770464.1,DAKCFMEO_01167,46.8,235,329,368,3.6e-58,219.9,0.714286,0.638587
WP_005770464.1,DAKCFMEO_02981,43.7,238,329,386,7.9e-58,218.8,0.723404,0.61658
WP_005770464.1,DAKCFMEO_03541,37.2,341,329,372,1.8e-54,207.6,1.03647,0.916667
WP_005770464.1,DAKCFMEO_00164,45.8,236,329,358,2.9e-52,200.3,0.717325,0.659218
WP_005770464.1,DAKCFMEO_04778,34.8,256,329,389,2.0e-40,161.0,0.778116,0.658098
WP_005770464.1,DAKCFMEO_04970,40.3,236,329,392,1.7e-39,157.9,0.717325,0.602041
WP_005770464.1,DAKCFMEO_02090,37.6,221,329,276,1.8e-38,154.5,0.671733,0.800725
WP_005770464.1,DAKCFMEO_00243,39.1,220,329,260,7.0e-38,152.5,0.668693,0.846154
WP_005770464.1,DAKCFMEO_05187,41.6,209,329,270,7.0e-38,152.5,0.635258,0.774074
WP_005770464.1,DAKCFMEO_02720,36.6,227,329,254,1.6e-37,151.4,0.68997,0.893701
WP_005770464.1,DAKCFMEO_03764,37.6,250,329,263,4.5e-37,149.8,0.759878,0.95057
WP_005770464.1,DAKCFMEO_04339,35.5,228,329,364,4.5e-37,149.8,0.693009,0.626374
WP_005770464.1,DAKCFMEO_04340,35.5,251,329,369,2.2e-36,147.5,0.762918,0.680217
WP_005770464.1,DAKCFMEO_02197,36.3,234,329,366,5.0e-36,146.4,0.711246,0.639344
WP_005770464.1,DAKCFMEO_01950,35.8,240,329,244,1.5e-35,144.8,0.729483,0.983607
WP_005770464.1,DAKCFMEO_05138,37.4,227,329,376,2.5e-35,144.1,0.68997,0.603723
WP_005770464.1,DAKCFMEO_00173,35.3,224,329,244,3.2e-35,143.7,0.680851,0.918033
WP_005770465.1,DAKCFMEO_04184,95.5,265,265,265,6.7e-140,491.1,1,1
WP_005770465.1,DAKCFMEO_01103,33.0,209,265,271,3.0e-15,77.0,0.788679,0.771218
WP_005770467.1,DAKCFMEO_04185,92.1,280,280,280,1.1e-145,510.4,1,1
WP_005770474.1,DAKCFMEO_04190,96.7,211,211,211,9.1e-124,437.2,1,1
WP_005770474.1,DAKCFMEO_00519,34.2,219,211,320,2.9e-29,123.2,1.03791,0.684375
WP_005770474.1,DAKCFMEO_04240,32.7,208,211,319,2.6e-22,100.1,0.985782,0.652038
WP_005770490.1,DAKCFMEO_01644,94.1,337,337,337,6.8e-190,657.5,1,1
WP_005770492.1,DAKCFMEO_01645,91.2,284,283,285,3.4e-118,419.1,1.00353,0.996491
WP_005770496.1,DAKCFMEO_01649,69.7,142,138,142,1.4e-45,176.8,1.02899,1
WP_005770497.1,DAKCFMEO_01650,86.0,107,109,109,2.9e-49,188.7,0.981651,0.981651
WP_005770507.1,DAKCFMEO_01659,92.3,390,390,390,9.6e-212,730.3,1,1
WP_005770519.1,DAKCFMEO_01667,95.1,266,266,266,2.1e-141,496.1,1,1
WP_005770545.1,DAKCFMEO_00481,92.9,282,282,282,1.0e-146,513.8,1,1
WP_005770547.1,DAKCFMEO_00482,84.0,362,356,362,2.1e-173,602.8,1.01685,1
WP_005770558.1,DAKCFMEO_00489,99.0,197,197,197,1.8e-110,392.9,1,1
WP_005770558.1,DAKCFMEO_00485,40.7,189,197,191,1.9e-30,127.1,0.959391,0.989529
WP_005770558.1,DAKCFMEO_00484,38.6,189,197,192,1.9e-27,117.1,0.959391,0.984375
WP_005770562.1,DAKCFMEO_00491,94.6,316,316,316,4.6e-172,598.2,1,1
WP_005770566.1,DAKCFMEO_00493,90.5,252,252,252,7.7e-138,484.2,1,1
WP_005770572.1,DAKCFMEO_00496,87.0,332,332,332,1.0e-169,590.5,1,1
WP_005770586.1,DAKCFMEO_04270,97.8,403,403,403,1.4e-226,779.6,1,1
WP_005770586.1,DAKCFMEO_03578,32.8,369,403,388,1.3e-41,165.2,0.915633,0.951031
WP_005770588.1,DAKCFMEO_04268,98.5,195,195,195,3.3e-104,372.1,1,1
WP_005770594.1,DAKCFMEO_04265,97.4,306,306,306,1.2e-169,590.1,1,1
WP_005770594.1,DAKCFMEO_02117,32.3,201,306,283,1.7e-14,74.7,0.656863,0.710247
WP_005770596.1,DAKCFMEO_04263,94.9,274,274,284,9.0e-156,543.9,1,0.964789
WP_005770603.1,DAKCFMEO_04258,94.5,200,200,200,3.9e-108,385.2,1,1
WP_005770607.1,DAKCFMEO_04257,97.3,219,219,220,5.7e-121,427.9,1,0.995455
WP_005770613.1,DAKCFMEO_04254,91.2,328,328,328,5.3e-171,594.7,1,1
WP_005770616.1,DAKCFMEO_04253,93.8,210,210,210,1.2e-107,383.6,1,1
WP_005770618.1,DAKCFMEO_04252,89.2,344,379,379,3.8e-181,628.6,0.907652,0.907652
WP_005770626.1,DAKCFMEO_04248,95.5,247,247,247,2.7e-127,449.1,1,1
WP_005770626.1,DAKCFMEO_03312,38.6,249,247,249,2.2e-36,147.1,1.0081,1
WP_005770626.1,DAKCFMEO_01364,35.0,254,247,266,1.3e-33,137.9,1.02834,0.954887
WP_005770626.1,DAKCFMEO_00202,35.1,245,247,270,3.9e-33,136.3,0.991903,0.907407
WP_005770626.1,DAKCFMEO_02641,38.0,245,247,249,5.1e-33,136.0,0.991903,0.983936
WP_005770626.1,DAKCFMEO_00374,33.2,253,247,266,3.6e-31,129.8,1.02429,0.951128
WP_005770626.1,DAKCFMEO_00203,35.0,246,247,253,8.1e-31,128.6,0.995951,0.972332
WP_005770626.1,DAKCFMEO_01734,32.8,247,247,254,2.4e-30,127.1,1,0.972441
WP_005770626.1,DAKCFMEO_01116,34.0,244,247,288,7.6e-29,122.1,0.987854,0.847222
WP_005770626.1,DAKCFMEO_04033,31.6,250,247,252,3.9e-25,109.8,1.01215,0.992063
WP_005770626.1,DAKCFMEO_00075,34.5,249,247,244,1.5e-24,107.8,1.0081,1.02049
WP_005770626.1,DAKCFMEO_03845,31.6,247,247,254,1.9e-24,107.5,1,0.972441
WP_005770626.1,DAKCFMEO_03740,31.4,245,247,248,2.5e-24,107.1,0.991903,0.987903
WP_005770626.1,DAKCFMEO_01189,31.1,244,247,255,7.3e-24,105.5,0.987854,0.956863
WP_005770626.1,DAKCFMEO_04271,32.9,243,247,260,2.4e-22,100.5,0.983806,0.934615
WP_005770626.1,DAKCFMEO_02489,32.7,248,247,252,4.0e-22,99.8,1.00405,0.984127
WP_005770626.1,DAKCFMEO_02062,32.4,256,247,273,7.6e-21,95.5,1.03644,0.937729
WP_005770626.1,DAKCFMEO_02779,30.1,249,247,303,5.4e-19,89.4,1.0081,0.821782
WP_005770635.1,DAKCFMEO_04242,85.8,332,332,332,2.4e-163,569.3,1,1
WP_005770637.1,DAKCFMEO_04241,82.1,218,220,219,1.0e-101,364.0,0.990909,0.995434
WP_005770641.1,DAKCFMEO_04238,85.8,339,339,339,1.8e-174,606.3,1,1
WP_005770642.1,DAKCFMEO_04237,89.3,253,254,254,4.1e-131,461.8,0.996063,0.996063
WP_005770644.1,DAKCFMEO_04235,89.1,331,331,331,1.6e-178,619.8,1,1
WP_005770645.1,DAKCFMEO_04234,97.2,143,143,143,7.4e-69,254.2,1,1
WP_005770647.1,DAKCFMEO_02477,58.0,517,675,691,5.6e-175,609.0,0.765926,0.748191
WP_005770647.1,DAKCFMEO_05276,30.3,515,675,614,1.1e-64,242.7,0.762963,0.838762
WP_005770647.1,DAKCFMEO_01022,32.2,494,675,656,1.2e-60,229.2,0.731852,0.753049
WP_005770653.1,DAKCFMEO_04225,94.9,136,136,136,1.5e-71,263.1,1,1
WP_005770654.1,DAKCFMEO_04196,83.8,284,284,284,1.6e-144,506.5,1,1
WP_005770684.1,DAKCFMEO_02695,90.6,180,180,180,2.1e-97,349.4,1,1
WP_005770686.1,DAKCFMEO_02694,90.2,112,110,112,8.8e-54,203.8,1.01818,1
WP_005770688.1,DAKCFMEO_02693,84.2,190,190,189,4.0e-86,312.0,1,1.00529
WP_005770693.1,DAKCFMEO_02691,91.4,244,250,254,7.2e-128,451.1,0.976,0.96063
WP_005770693.1,DAKCFMEO_02193,38.2,207,250,265,3.8e-28,119.8,0.828,0.781132
WP_005770693.1,DAKCFMEO_01044,34.1,208,250,249,2.7e-26,113.6,0.832,0.835341
WP_005770693.1,DAKCFMEO_05187,31.5,235,250,270,5.9e-21,95.9,0.94,0.87037
WP_005770693.1,DAKCFMEO_01234,33.2,232,250,277,1.0e-20,95.1,0.928,0.837545
WP_005770693.1,DAKCFMEO_02375,33.3,201,250,277,6.5e-20,92.4,0.804,0.725632
WP_005770693.1,DAKCFMEO_00930,35.2,213,250,254,8.5e-20,92.0,0.852,0.838583
WP_005770693.1,DAKCFMEO_03688,31.2,208,250,263,1.8e-17,84.3,0.832,0.790875
WP_005770693.1,DAKCFMEO_00099,30.0,223,250,233,5.2e-17,82.8,0.892,0.957082
WP_005770693.1,DAKCFMEO_05030,35.0,203,250,223,2.0e-16,80.9,0.812,0.910314
WP_005770697.1,DAKCFMEO_02689,86.7,301,309,302,1.2e-140,493.8,0.97411,0.996689
WP_005770699.1,DAKCFMEO_02688,98.7,75,75,75,1.0e-40,159.8,1,1
WP_005770699.1,DAKCFMEO_04414,54.4,57,75,62,8.8e-13,67.0,0.76,0.919355
WP_005770701.1,DAKCFMEO_02687,93.6,470,470,470,9.0e-257,880.2,1,1
WP_005770701.1,DAKCFMEO_03828,56.5,439,470,460,2.1e-144,506.9,0.934043,0.954348
WP_005770701.1,DAKCFMEO_05182,37.1,445,470,434,1.8e-63,238.0,0.946809,1.02535
WP_005770701.1,DAKCFMEO_02459,33.8,420,470,415,9.0e-55,209.1,0.893617,1.01205
WP_005770701.1,DAKCFMEO_02080,33.1,417,470,426,4.9e-53,203.4,0.887234,0.978873
WP_005770701.1,DAKCFMEO_01034,30.4,428,470,400,3.0e-42,167.5,0.910638,1.07
WP_005770701.1,DAKCFMEO_02126,31.2,432,470,468,1.3e-40,162.2,0.919149,0.923077
WP_005770721.1,DAKCFMEO_02678,87.4,143,143,143,1.4e-67,250.0,1,1
WP_005770745.1,DAKCFMEO_00822,47.8,159,159,153,6.8e-39,154.8,1,1.03922
WP_005770751.1,DAKCFMEO_04351,99.3,427,427,427,1.3e-241,829.7,1,1
WP_005770753.1,DAKCFMEO_04352,97.9,798,798,798,0.0e+00,1506.5,1,1
WP_005770753.1,DAKCFMEO_00212,40.1,769,798,805,4.5e-147,516.5,0.963659,0.95528
WP_005770757.1,DAKCFMEO_04354,94.1,627,627,627,0.0e+00,1125.2,1,1
WP_005770759.1,DAKCFMEO_04355,98.5,264,264,264,9.6e-147,513.8,1,1
WP_005770761.1,DAKCFMEO_04356,95.5,536,536,536,1.0e-288,986.5,1,1
WP_005770761.1,DAKCFMEO_02034,69.1,528,536,527,3.4e-199,689.1,0.985075,1.0019
WP_005770761.1,DAKCFMEO_04030,68.2,525,536,527,4.9e-198,685.3,0.979478,0.996205
WP_005770761.1,DAKCFMEO_02012,36.0,530,536,613,6.4e-81,296.2,0.988806,0.8646
WP_005770766.1,DAKCFMEO_04360,94.4,609,609,635,0.0e+00,1198.7,1,0.959055
WP_005770766.1,DAKCFMEO_04359,44.8,576,609,618,1.2e-147,518.1,0.945813,0.932039
WP_005770766.1,DAKCFMEO_02037,41.9,614,609,628,2.6e-131,463.8,1.00821,0.977707
WP_005770766.1,DAKCFMEO_04027,40.7,605,609,620,4.9e-122,433.0,0.993432,0.975806
WP_005770768.1,DAKCFMEO_04362,82.2,259,259,259,7.7e-125,441.0,1,1
WP_005770770.1,DAKCFMEO_04364,99.3,148,150,150,5.7e-88,317.8,0.986667,0.986667
WP_005770771.1,DAKCFMEO_04365,84.6,259,259,259,1.8e-121,429.9,1,1
WP_005770773.1,DAKCFMEO_04366,82.4,182,184,185,1.4e-91,330.1,0.98913,0.983784
WP_005770776.1,DAKCFMEO_04368,89.1,183,189,186,1.4e-91,330.1,0.968254,0.983871
WP_005770780.1,DAKCFMEO_04370,97.1,383,383,383,4.4e-217,748.0,1,1
WP_005770780.1,DAKCFMEO_03723,34.9,367,383,387,2.7e-65,243.8,0.958225,0.94832
WP_005770780.1,DAKCFMEO_01611,30.7,374,383,393,3.5e-49,190.3,0.976501,0.951654
WP_005770780.1,DAKCFMEO_03727,31.8,355,383,409,1.3e-35,145.2,0.926893,0.867971
WP_005770780.1,DAKCFMEO_04991,30.3,399,383,600,1.3e-32,135.2,1.04178,0.665
WP_005770788.1,DAKCFMEO_04374,94.6,538,538,538,1.6e-286,979.2,1,1
WP_005770788.1,DAKCFMEO_00299,45.4,485,538,490,1.7e-110,394.4,0.901487,0.989796
WP_005770794.1,DAKCFMEO_02431,72.9,214,218,214,1.9e-87,316.6,0.981651,1
WP_005770794.1,DAKCFMEO_00958,53.0,215,218,216,5.6e-60,225.3,0.986239,0.99537
WP_005770794.1,DAKCFMEO_01455,40.7,194,218,214,2.6e-41,163.3,0.889908,0.906542
WP_005770811.1,DAKCFMEO_01412,51.5,97,94,98,4.5e-14,71.6,1.03191,0.989796
WP_005770813.1,DAKCFMEO_01411,90.9,341,341,339,2.8e-175,609.0,1,1.0059
WP_005770815.1,DAKCFMEO_01410,97.0,331,331,331,3.8e-177,615.1,1,1
WP_005770825.1,DAKCFMEO_00922,76.7,163,164,174,6.7e-74,271.2,0.993902,0.936782
WP_005770829.1,DAKCFMEO_00924,80.5,262,263,263,4.6e-117,415.2,0.996198,0.996198
WP_005770829.1,DAKCFMEO_01234,47.9,219,263,277,2.3e-47,183.7,0.8327,0.790614
WP_005770829.1,DAKCFMEO_03688,39.7,247,263,263,1.9e-38,154.1,0.939163,0.939163
WP_005770829.1,DAKCFMEO_03838,36.3,245,263,263,1.8e-36,147.5,0.931559,0.931559
WP_005770829.1,DAKCFMEO_02024,34.1,246,263,380,5.8e-27,115.9,0.935361,0.647368
WP_005770829.1,DAKCFMEO_02928,38.4,216,263,343,6.4e-26,112.5,0.821293,0.629738
WP_005770829.1,DAKCFMEO_02658,36.4,239,263,232,7.8e-24,105.5,0.908745,1.03017
WP_005770829.1,DAKCFMEO_05158,34.0,209,263,326,8.6e-23,102.1,0.794677,0.641104
WP_005770829.1,DAKCFMEO_04183,32.8,247,263,329,1.5e-22,101.3,0.939163,0.75076
WP_005770829.1,DAKCFMEO_05187,33.8,234,263,270,9.6e-22,98.6,0.889734,0.866667
WP_005770829.1,DAKCFMEO_00708,36.7,210,263,227,6.2e-21,95.9,0.798479,0.92511
WP_005770829.1,DAKCFMEO_01403,33.6,223,263,277,2.4e-20,94.0,0.847909,0.805054
WP_005770829.1,DAKCFMEO_05131,33.2,229,263,247,3.1e-20,93.6,0.870722,0.927126
WP_005770829.1,DAKCFMEO_02197,33.3,222,263,366,5.2e-20,92.8,0.844106,0.606557
WP_005770829.1,DAKCFMEO_01385,36.0,203,263,336,8.9e-20,92.0,0.771863,0.604167
WP_005770829.1,DAKCFMEO_01326,32.8,238,263,368,1.2e-19,91.7,0.904943,0.646739
WP_005770829.1,DAKCFMEO_00930,35.7,207,263,254,1.3e-18,88.2,0.787072,0.814961
WP_005770837.1,DAKCFMEO_00928,96.7,244,244,244,1.3e-129,456.8,1,1
WP_005770837.1,DAKCFMEO_04757,57.5,228,244,249,5.7e-69,255.4,0.934426,0.915663
WP_005770837.1,DAKCFMEO_00927,43.1,232,244,238,4.4e-45,176.0,0.95082,0.97479
WP_005770837.1,DAKCFMEO_01426,42.4,231,244,237,1.4e-43,171.0,0.946721,0.974684
WP_005770837.1,DAKCFMEO_04634,31.8,239,244,255,6.4e-20,92.4,0.979508,0.937255
WP_005770837.1,DAKCFMEO_01707,30.0,233,244,255,1.2e-18,88.2,0.954918,0.913725
WP_005770837.1,DAKCFMEO_00726,30.2,235,244,235,1.8e-14,74.3,0.963115,1
WP_005770839.1,DAKCFMEO_00929,87.9,240,240,240,1.4e-128,453.4,1,1
WP_005770857.1,DAKCFMEO_00941,91.9,223,224,238,4.8e-115,408.3,0.995536,0.936975
WP_005770857.1,DAKCFMEO_00368,55.5,220,224,227,7.3e-71,261.5,0.982143,0.969163
WP_005770857.1,DAKCFMEO_02992,37.6,221,224,225,2.5e-39,156.8,0.986607,0.982222
WP_005770857.1,DAKCFMEO_04561,34.7,219,224,231,5.4e-34,139.0,0.977679,0.948052
WP_005770857.1,DAKCFMEO_01433,38.4,219,224,227,2.5e-31,130.2,0.977679,0.964758
WP_005770857.1,DAKCFMEO_02150,33.8,225,224,224,5.6e-31,129.0,1.00446,1.00446
WP_005770857.1,DAKCFMEO_00060,32.9,219,224,220,2.8e-30,126.7,0.977679,0.995455
WP_005770857.1,DAKCFMEO_02661,34.1,220,224,226,4.8e-30,125.9,0.982143,0.973451
WP_005770857.1,DAKCFMEO_02463,33.5,221,224,220,6.2e-30,125.6,0.986607,1.00455
WP_005770857.1,DAKCFMEO_00233,32.6,221,224,223,9.9e-28,118.2,0.986607,0.991031
WP_005770857.1,DAKCFMEO_01546,31.8,220,224,222,3.8e-27,116.3,0.982143,0.990991
WP_005770857.1,DAKCFMEO_01592,30.5,226,224,229,4.9e-27,115.9,1.00893,0.9869
WP_005770857.1,DAKCFMEO_02949,34.4,221,224,226,1.1e-26,114.8,0.986607,0.977876
WP_005770857.1,DAKCFMEO_02243,30.1,219,224,225,1.9e-23,104.0,0.977679,0.973333
