HOG	OG	Gene Tree Parent Clade	DC3000_protein_12_2025	plate25.C2.annotation
N0.HOG0002220	OG0001984	-	WP_005767596.1	DAKCFMEO_04197
N0.HOG0002221	OG0001985	-	WP_005767600.1	DAKCFMEO_04199
N0.HOG0002222	OG0001986	-	WP_005767605.1	DAKCFMEO_04203
N0.HOG0002223	OG0001987	-	WP_005767607.1	DAKCFMEO_04204
N0.HOG0002224	OG0001988	-	WP_005767612.1	DAKCFMEO_04207
N0.HOG0002225	OG0001989	-	WP_005767614.1	DAKCFMEO_04208
N0.HOG0002226	OG0001990	-	WP_005767637.1	DAKCFMEO_04221
N0.HOG0002227	OG0001991	-	WP_005767643.1	DAKCFMEO_00019
N0.HOG0002228	OG0001992	-	WP_005767663.1	DAKCFMEO_03029
N0.HOG0002229	OG0001993	-	WP_005767670.1	DAKCFMEO_03036
N0.HOG0002230	OG0001994	-	WP_005767686.1	DAKCFMEO_02371
N0.HOG0002231	OG0001995	-	WP_005767688.1	DAKCFMEO_02374
N0.HOG0002232	OG0001996	-	WP_005767689.1	DAKCFMEO_02375
N0.HOG0002233	OG0001997	-	WP_005767690.1	DAKCFMEO_02376
N0.HOG0002234	OG0001998	-	WP_005767692.1	DAKCFMEO_02379
N0.HOG0002235	OG0001999	-	WP_005767695.1	DAKCFMEO_02381
N0.HOG0002236	OG0002000	-	WP_005767699.1	DAKCFMEO_02383
N0.HOG0002237	OG0002001	-	WP_005767701.1	DAKCFMEO_02385
N0.HOG0002238	OG0002002	-	WP_005767703.1	DAKCFMEO_02386
N0.HOG0002239	OG0002003	-	WP_005767709.1	DAKCFMEO_02388
N0.HOG0002240	OG0002004	-	WP_005767714.1	DAKCFMEO_02391
N0.HOG0002241	OG0002005	-	WP_005767716.1	DAKCFMEO_02392
N0.HOG0002242	OG0002006	-	WP_005767718.1	DAKCFMEO_02393
N0.HOG0002243	OG0002007	-	WP_005767720.1	DAKCFMEO_02394
N0.HOG0002244	OG0002008	-	WP_005767723.1	DAKCFMEO_02395
N0.HOG0002245	OG0002009	-	WP_005767727.1	DAKCFMEO_04500
N0.HOG0002246	OG0002010	-	WP_005767729.1	DAKCFMEO_04503
N0.HOG0002247	OG0002011	-	WP_005767731.1	DAKCFMEO_04504
N0.HOG0002248	OG0002012	-	WP_005767739.1	DAKCFMEO_04510
N0.HOG0002249	OG0002013	-	WP_005767754.1	DAKCFMEO_04518
N0.HOG0002250	OG0002014	-	WP_005767756.1	DAKCFMEO_04519
N0.HOG0002251	OG0002015	-	WP_005767763.1	DAKCFMEO_02405
N0.HOG0002252	OG0002016	-	WP_005767798.1	DAKCFMEO_02412
N0.HOG0002253	OG0002017	-	WP_005767805.1	DAKCFMEO_00070
N0.HOG0002254	OG0002018	-	WP_005767820.1	DAKCFMEO_02452
N0.HOG0002255	OG0002019	-	WP_005767834.1	DAKCFMEO_02456
N0.HOG0002256	OG0002020	-	WP_005767836.1	DAKCFMEO_02457
N0.HOG0002257	OG0002021	-	WP_005767839.1	DAKCFMEO_02459
N0.HOG0002258	OG0002022	-	WP_005767841.1	DAKCFMEO_02460
N0.HOG0002259	OG0002023	-	WP_005767847.1	DAKCFMEO_02464
N0.HOG0002260	OG0002024	-	WP_005767853.1	DAKCFMEO_02467
N0.HOG0002261	OG0002025	-	WP_005767873.1	DAKCFMEO_02798
N0.HOG0002262	OG0002026	-	WP_005767875.1	DAKCFMEO_02801
N0.HOG0002263	OG0002027	-	WP_005767882.1	DAKCFMEO_02805
N0.HOG0002264	OG0002028	-	WP_005767884.1	DAKCFMEO_02806
N0.HOG0002265	OG0002029	-	WP_005767887.1	DAKCFMEO_02808
N0.HOG0002266	OG0002030	-	WP_005767891.1	DAKCFMEO_02811
N0.HOG0002267	OG0002031	-	WP_005767895.1	DAKCFMEO_02813
N0.HOG0002268	OG0002032	-	WP_005768018.1	DAKCFMEO_02827
N0.HOG0002269	OG0002033	-	WP_005768022.1	DAKCFMEO_02829
N0.HOG0002270	OG0002034	-	WP_005768024.1	DAKCFMEO_02830
N0.HOG0002271	OG0002035	-	WP_005768026.1	DAKCFMEO_02831
N0.HOG0002272	OG0002036	-	WP_005768037.1	DAKCFMEO_02835
N0.HOG0002273	OG0002037	-	WP_005768044.1	DAKCFMEO_02843
N0.HOG0002274	OG0002038	-	WP_005768050.1	DAKCFMEO_02846
N0.HOG0002275	OG0002039	-	WP_005768051.1	DAKCFMEO_02847
N0.HOG0002276	OG0002040	-	WP_005768067.1	DAKCFMEO_02856
N0.HOG0002277	OG0002041	-	WP_005768068.1	DAKCFMEO_02857
N0.HOG0002278	OG0002042	-	WP_005768135.1	DAKCFMEO_04067
N0.HOG0002279	OG0002043	-	WP_005768136.1	DAKCFMEO_04798
N0.HOG0002280	OG0002044	-	WP_005768137.1	DAKCFMEO_02222
N0.HOG0002281	OG0002045	-	WP_005768138.1	DAKCFMEO_02224
N0.HOG0002282	OG0002046	-	WP_005768141.1	DAKCFMEO_02228
N0.HOG0002283	OG0002047	-	WP_005768142.1	DAKCFMEO_02229
N0.HOG0002284	OG0002048	-	WP_005768143.1	DAKCFMEO_02230
N0.HOG0002285	OG0002049	-	WP_005768144.1	DAKCFMEO_02232
N0.HOG0002286	OG0002050	-	WP_005768145.1	DAKCFMEO_02233
N0.HOG0002287	OG0002051	-	WP_005768148.1	DAKCFMEO_02235
N0.HOG0002288	OG0002052	-	WP_005768150.1	DAKCFMEO_02236
N0.HOG0002289	OG0002053	-	WP_005768154.1	DAKCFMEO_02238
N0.HOG0002290	OG0002054	-	WP_005768167.1	DAKCFMEO_01308
N0.HOG0002291	OG0002055	-	WP_005768180.1	DAKCFMEO_01303
N0.HOG0002292	OG0002056	-	WP_005768190.1	DAKCFMEO_01300
N0.HOG0002293	OG0002057	-	WP_005768197.1	DAKCFMEO_01298
N0.HOG0002294	OG0002058	-	WP_005768224.1	DAKCFMEO_01267
N0.HOG0002295	OG0002059	-	WP_005768226.1	DAKCFMEO_01265
N0.HOG0002296	OG0002060	-	WP_005768230.1	DAKCFMEO_01262
N0.HOG0002297	OG0002061	-	WP_005768286.1	DAKCFMEO_01213
N0.HOG0002298	OG0002062	-	WP_005768300.1	DAKCFMEO_01205
N0.HOG0002299	OG0002063	-	WP_005768304.1	DAKCFMEO_01203
N0.HOG0002300	OG0002064	-	WP_005768306.1	DAKCFMEO_01201
N0.HOG0002301	OG0002065	-	WP_005768307.1	DAKCFMEO_01198
N0.HOG0002302	OG0002066	-	WP_005768309.1	DAKCFMEO_01196
N0.HOG0002303	OG0002067	-	WP_005768313.1	DAKCFMEO_01551
N0.HOG0002304	OG0002068	-	WP_005768314.1	DAKCFMEO_01553
N0.HOG0002305	OG0002069	-	WP_005768318.1	DAKCFMEO_01555
N0.HOG0002306	OG0002070	-	WP_005768321.1	DAKCFMEO_01558
N0.HOG0002307	OG0002071	-	WP_005768325.1	DAKCFMEO_01559
N0.HOG0002308	OG0002072	-	WP_005768326.1	DAKCFMEO_01560
N0.HOG0002309	OG0002073	-	WP_005768334.1	DAKCFMEO_01567
N0.HOG0002310	OG0002074	-	WP_005768341.1	DAKCFMEO_01572
N0.HOG0002311	OG0002075	-	WP_005768354.1	DAKCFMEO_01581
N0.HOG0002312	OG0002076	-	WP_005768357.1	DAKCFMEO_01582
N0.HOG0002313	OG0002077	-	WP_005768363.1	DAKCFMEO_01587
N0.HOG0002314	OG0002078	-	WP_005768392.1	DAKCFMEO_01607
N0.HOG0002315	OG0002079	-	WP_005768393.1	DAKCFMEO_01608
N0.HOG0002316	OG0002080	-	WP_005768419.1	DAKCFMEO_01960
N0.HOG0002317	OG0002081	-	WP_005768422.1	DAKCFMEO_01958
N0.HOG0002318	OG0002082	-	WP_005768425.1	DAKCFMEO_01957
N0.HOG0002319	OG0002083	-	WP_005768431.1	DAKCFMEO_01948
N0.HOG0002320	OG0002084	-	WP_005768434.1	DAKCFMEO_01946
N0.HOG0002321	OG0002085	-	WP_005768435.1	DAKCFMEO_01945
N0.HOG0002322	OG0002086	-	WP_005768437.1	DAKCFMEO_02213
N0.HOG0002323	OG0002087	-	WP_005768460.1	DAKCFMEO_02193
N0.HOG0002324	OG0002088	-	WP_005768489.1	DAKCFMEO_01995
N0.HOG0002325	OG0002089	-	WP_005768491.1	DAKCFMEO_01923
N0.HOG0002326	OG0002090	-	WP_005768492.1	DAKCFMEO_01922
N0.HOG0002327	OG0002091	-	WP_005768497.1	DAKCFMEO_01919
N0.HOG0002328	OG0002092	-	WP_005768510.1	DAKCFMEO_01913
N0.HOG0002329	OG0002093	-	WP_005768511.1	DAKCFMEO_01912
N0.HOG0002330	OG0002094	-	WP_005768513.1	DAKCFMEO_01911
N0.HOG0002331	OG0002095	-	WP_005768515.1	DAKCFMEO_01908
N0.HOG0002332	OG0002096	-	WP_005768530.1	DAKCFMEO_01906
N0.HOG0002333	OG0002097	-	WP_005768580.1	DAKCFMEO_00377
N0.HOG0002334	OG0002098	-	WP_005768585.1	DAKCFMEO_00372
N0.HOG0002335	OG0002099	-	WP_005768589.1	DAKCFMEO_00369
N0.HOG0002336	OG0002100	-	WP_005768596.1	DAKCFMEO_00364
N0.HOG0002337	OG0002101	-	WP_005768608.1	DAKCFMEO_00347
N0.HOG0002338	OG0002102	-	WP_005768620.1	DAKCFMEO_00339
N0.HOG0002339	OG0002103	-	WP_005768622.1	DAKCFMEO_00338
N0.HOG0002340	OG0002104	-	WP_005768625.1	DAKCFMEO_00337
N0.HOG0002341	OG0002105	-	WP_005768657.1	DAKCFMEO_00313
N0.HOG0002342	OG0002106	-	WP_005768668.1	DAKCFMEO_00309
N0.HOG0002343	OG0002107	-	WP_005768670.1	DAKCFMEO_00308
N0.HOG0002344	OG0002108	-	WP_005768677.1	DAKCFMEO_00303
N0.HOG0002345	OG0002109	-	WP_005768681.1	DAKCFMEO_00296
N0.HOG0002346	OG0002110	-	WP_005768685.1	DAKCFMEO_00294
N0.HOG0002347	OG0002111	-	WP_005768695.1	DAKCFMEO_00289
N0.HOG0002348	OG0002112	-	WP_005768700.1	DAKCFMEO_00286
N0.HOG0002349	OG0002113	-	WP_005768735.1	DAKCFMEO_02777
N0.HOG0002350	OG0002114	-	WP_005768738.1	DAKCFMEO_02780
N0.HOG0002351	OG0002115	-	WP_005768743.1	DAKCFMEO_02785
N0.HOG0002352	OG0002116	-	WP_005768750.1	DAKCFMEO_02788
N0.HOG0002353	OG0002117	-	WP_005768752.1	DAKCFMEO_02789
N0.HOG0002354	OG0002118	-	WP_005768760.1	DAKCFMEO_02794
N0.HOG0002355	OG0002119	-	WP_005768796.1	DAKCFMEO_03397
N0.HOG0002356	OG0002120	-	WP_005768797.1	DAKCFMEO_03399
N0.HOG0002357	OG0002121	-	WP_005768799.1	DAKCFMEO_03400
N0.HOG0002358	OG0002122	-	WP_005768804.1	DAKCFMEO_03405
N0.HOG0002359	OG0002123	-	WP_005768806.1	DAKCFMEO_03408
N0.HOG0002360	OG0002124	-	WP_005768811.1	DAKCFMEO_03411
N0.HOG0002361	OG0002125	-	WP_005768815.1	DAKCFMEO_03413
N0.HOG0002362	OG0002126	-	WP_005768817.1	DAKCFMEO_03414
N0.HOG0002363	OG0002127	-	WP_005768818.1	DAKCFMEO_03415
N0.HOG0002364	OG0002128	-	WP_005768820.1	DAKCFMEO_03416
N0.HOG0002365	OG0002129	-	WP_005768822.1	DAKCFMEO_03418
N0.HOG0002366	OG0002130	-	WP_005768824.1	DAKCFMEO_03419
N0.HOG0002367	OG0002131	-	WP_005768828.1	DAKCFMEO_03421
N0.HOG0002368	OG0002132	-	WP_005768830.1	DAKCFMEO_03422
N0.HOG0002369	OG0002133	-	WP_005768832.1	DAKCFMEO_03423
N0.HOG0002370	OG0002134	-	WP_005768836.1	DAKCFMEO_03425
N0.HOG0002371	OG0002135	-	WP_005768839.1	DAKCFMEO_03427
N0.HOG0002372	OG0002136	-	WP_005768840.1	DAKCFMEO_03428
N0.HOG0002373	OG0002137	-	WP_005768843.1	DAKCFMEO_03429
N0.HOG0002374	OG0002138	-	WP_005768852.1	DAKCFMEO_03433
N0.HOG0002375	OG0002139	-	WP_005768855.1	DAKCFMEO_03434
N0.HOG0002376	OG0002140	-	WP_005768866.1	DAKCFMEO_03440
N0.HOG0002377	OG0002141	-	WP_005768868.1	DAKCFMEO_03441
N0.HOG0002378	OG0002142	-	WP_005768871.1	DAKCFMEO_03444
N0.HOG0002379	OG0002143	-	WP_005768873.1	DAKCFMEO_03446
N0.HOG0002380	OG0002144	-	WP_005768914.1	DAKCFMEO_03488
N0.HOG0002381	OG0002145	-	WP_005768916.1	DAKCFMEO_03489
N0.HOG0002382	OG0002146	-	WP_005768918.1	DAKCFMEO_03494
N0.HOG0002383	OG0002147	-	WP_005768921.1	DAKCFMEO_03499
N0.HOG0002384	OG0002148	-	WP_005768927.1	DAKCFMEO_03504
N0.HOG0002385	OG0002149	-	WP_005768935.1	DAKCFMEO_03519
N0.HOG0002386	OG0002150	-	WP_005768939.1	DAKCFMEO_03522
N0.HOG0002387	OG0002151	-	WP_005768946.1	DAKCFMEO_03535
N0.HOG0002388	OG0002152	-	WP_005768949.1	DAKCFMEO_03536
N0.HOG0002389	OG0002153	-	WP_005768957.1	DAKCFMEO_03540
N0.HOG0002390	OG0002154	-	WP_005768959.1	DAKCFMEO_03541
N0.HOG0002391	OG0002155	-	WP_005768960.1	DAKCFMEO_03542
N0.HOG0002392	OG0002156	-	WP_005768962.1	DAKCFMEO_03543
N0.HOG0002393	OG0002157	-	WP_005768991.1	DAKCFMEO_03550
N0.HOG0002394	OG0002158	-	WP_005768994.1	DAKCFMEO_03552
N0.HOG0002395	OG0002159	-	WP_005768999.1	DAKCFMEO_03556
N0.HOG0002396	OG0002160	-	WP_005769001.1	DAKCFMEO_03557
N0.HOG0002397	OG0002161	-	WP_005769004.1	DAKCFMEO_03558
N0.HOG0002398	OG0002162	-	WP_005769006.1	DAKCFMEO_03559
N0.HOG0002399	OG0002163	-	WP_005769010.1	DAKCFMEO_03562
N0.HOG0002400	OG0002164	-	WP_005769026.1	DAKCFMEO_03574
N0.HOG0002401	OG0002165	-	WP_011103245.1, WP_005769045.1	
N0.HOG0002402	OG0002166	-	WP_005769073.1	DAKCFMEO_04278
N0.HOG0002403	OG0002167	-	WP_005769084.1	DAKCFMEO_04283
N0.HOG0002404	OG0002168	-	WP_005769102.1	DAKCFMEO_04293
N0.HOG0002405	OG0002169	-	WP_005769107.1	DAKCFMEO_04296
N0.HOG0002406	OG0002170	-	WP_005769126.1	DAKCFMEO_04304
N0.HOG0002407	OG0002171	-	WP_005769128.1	DAKCFMEO_04305
N0.HOG0002408	OG0002172	-	WP_005769130.1	DAKCFMEO_04306
N0.HOG0002409	OG0002173	-	WP_005769135.1	DAKCFMEO_04309
N0.HOG0002410	OG0002174	-	WP_005769138.1	DAKCFMEO_04310
N0.HOG0002411	OG0002175	-	WP_005769148.1	DAKCFMEO_04315
N0.HOG0002412	OG0002176	-	WP_005769151.1	DAKCFMEO_04316
N0.HOG0002413	OG0002177	-	WP_005769188.1	DAKCFMEO_04334
N0.HOG0002414	OG0002178	-	WP_005769192.1	DAKCFMEO_04337
N0.HOG0002415	OG0002179	-	WP_005769193.1	DAKCFMEO_04338
N0.HOG0002416	OG0002180	-	WP_005769235.1	DAKCFMEO_00597
N0.HOG0002417	OG0002181	-	WP_005769238.1	DAKCFMEO_00596
N0.HOG0002418	OG0002182	-	WP_005769243.1	DAKCFMEO_00594
N0.HOG0002419	OG0002183	-	WP_005769256.1	DAKCFMEO_00540
N0.HOG0002420	OG0002184	-	WP_005769257.1	DAKCFMEO_00538
N0.HOG0002421	OG0002185	-	WP_005769258.1	DAKCFMEO_00536
N0.HOG0002422	OG0002186	-	WP_005769259.1	DAKCFMEO_00535
N0.HOG0002423	OG0002187	-	WP_005769261.1	DAKCFMEO_00533
N0.HOG0002424	OG0002188	-	WP_005769262.1	DAKCFMEO_00531
N0.HOG0002425	OG0002189	-	WP_005769263.1	DAKCFMEO_00530
N0.HOG0002426	OG0002190	-	WP_005769271.1	DAKCFMEO_03984
N0.HOG0002427	OG0002191	-	WP_005769277.1	DAKCFMEO_00521
N0.HOG0002428	OG0002192	-	WP_005769279.1	DAKCFMEO_00520
N0.HOG0002429	OG0002193	-	WP_005769281.1	DAKCFMEO_03119
N0.HOG0002430	OG0002194	-	WP_005769301.1, WP_005769303.1	
N0.HOG0002431	OG0002195	-	WP_005769341.1	DAKCFMEO_01784
N0.HOG0002432	OG0002196	-	WP_005769363.1	DAKCFMEO_01807
N0.HOG0002433	OG0002197	-	WP_005769371.1	DAKCFMEO_04761
N0.HOG0002434	OG0002198	-	WP_005769381.1	DAKCFMEO_04766
N0.HOG0002435	OG0002199	-	WP_005769384.1	DAKCFMEO_04768
N0.HOG0002436	OG0002200	-	WP_005769400.1	DAKCFMEO_04776
N0.HOG0002437	OG0002201	-	WP_005769407.1	DAKCFMEO_04997
N0.HOG0002438	OG0002202	-	WP_005769417.1	DAKCFMEO_05005
N0.HOG0002439	OG0002203	-	WP_005769424.1	DAKCFMEO_05010
N0.HOG0002440	OG0002204	-	WP_005769426.1	DAKCFMEO_05011
N0.HOG0002441	OG0002205	-	WP_005769432.1	DAKCFMEO_05014
N0.HOG0002442	OG0002206	-	WP_005769461.1	DAKCFMEO_02216
N0.HOG0002443	OG0002207	-	WP_005769463.1	DAKCFMEO_02215
N0.HOG0002444	OG0002208	-	WP_005769469.1	DAKCFMEO_01938
N0.HOG0002445	OG0002209	-	WP_005769473.1	DAKCFMEO_01936
N0.HOG0002446	OG0002210	-	WP_005769477.1	DAKCFMEO_01934
N0.HOG0002447	OG0002211	-	WP_005769478.1	DAKCFMEO_01932
N0.HOG0002448	OG0002212	-	WP_005769504.1	DAKCFMEO_01879
N0.HOG0002449	OG0002213	-	WP_005769514.1	DAKCFMEO_01873
N0.HOG0002450	OG0002214	-	WP_005769516.1	DAKCFMEO_01872
N0.HOG0002451	OG0002215	-	WP_005769528.1	DAKCFMEO_01865
N0.HOG0002452	OG0002216	-	WP_005769531.1	DAKCFMEO_01864
N0.HOG0002453	OG0002217	-	WP_005769534.1	DAKCFMEO_01861
N0.HOG0002454	OG0002218	-	WP_005769538.1	DAKCFMEO_01859
N0.HOG0002455	OG0002219	-	WP_005769539.1	DAKCFMEO_01858
N0.HOG0002456	OG0002220	-	WP_005769547.1	DAKCFMEO_01856
N0.HOG0002457	OG0002221	-	WP_005769553.1	DAKCFMEO_01854
N0.HOG0002458	OG0002222	-	WP_005769555.1	DAKCFMEO_01849
N0.HOG0002459	OG0002223	-	WP_005769563.1	DAKCFMEO_01844
N0.HOG0002460	OG0002224	-	WP_005769565.1	DAKCFMEO_01841
N0.HOG0002461	OG0002225	-	WP_005769567.1	DAKCFMEO_01840
N0.HOG0002462	OG0002226	-	WP_005769579.1	DAKCFMEO_01829
N0.HOG0002463	OG0002227	-	WP_005769583.1	DAKCFMEO_01827
N0.HOG0002464	OG0002228	-	WP_005769602.1	DAKCFMEO_00662
N0.HOG0002465	OG0002229	-	WP_005769608.1	DAKCFMEO_00660
N0.HOG0002466	OG0002230	-	WP_005769610.1	DAKCFMEO_00659
N0.HOG0002467	OG0002231	-	WP_005769613.1	DAKCFMEO_00657
N0.HOG0002468	OG0002232	-	WP_005769615.1	DAKCFMEO_00655
N0.HOG0002469	OG0002233	-	WP_005769616.1	DAKCFMEO_00654
N0.HOG0002470	OG0002234	-	WP_005769618.1	DAKCFMEO_00652
N0.HOG0002471	OG0002235	-	WP_005769620.1	DAKCFMEO_05241
N0.HOG0002472	OG0002236	-	WP_005769624.1	DAKCFMEO_00648
N0.HOG0002473	OG0002237	-	WP_005769626.1	DAKCFMEO_00647
N0.HOG0002474	OG0002238	-	WP_005769628.1	DAKCFMEO_00645
N0.HOG0002475	OG0002239	-	WP_005769631.1	DAKCFMEO_00642
N0.HOG0002476	OG0002240	-	WP_005769634.1	DAKCFMEO_00641
N0.HOG0002477	OG0002241	-	WP_005769636.1	DAKCFMEO_00640
N0.HOG0002478	OG0002242	-	WP_005769643.1	DAKCFMEO_00636
N0.HOG0002479	OG0002243	-	WP_005769647.1	DAKCFMEO_00634
N0.HOG0002480	OG0002244	-	WP_005769649.1	DAKCFMEO_00633
N0.HOG0002481	OG0002245	-	WP_005769651.1	DAKCFMEO_00632
N0.HOG0002482	OG0002246	-	WP_005769653.1	DAKCFMEO_00631
N0.HOG0002483	OG0002247	-	WP_005769658.1	DAKCFMEO_00628
N0.HOG0002484	OG0002248	-	WP_005769662.1	DAKCFMEO_00623
N0.HOG0002485	OG0002249	-	WP_005769669.1	DAKCFMEO_00617
N0.HOG0002486	OG0002250	-	WP_005769670.1	DAKCFMEO_00616
N0.HOG0002487	OG0002251	-	WP_005769671.1	DAKCFMEO_00615
N0.HOG0002488	OG0002252	-	WP_005769676.1	DAKCFMEO_02715
N0.HOG0002489	OG0002253	-	WP_005769679.1	DAKCFMEO_02713
N0.HOG0002490	OG0002254	-	WP_005769683.1	DAKCFMEO_02711
N0.HOG0002491	OG0002255	-	WP_005769728.1, WP_011103315.1	
N0.HOG0002492	OG0002256	-	WP_011106992.1, WP_005769758.1	
N0.HOG0002493	OG0002257	-	WP_054070003.1, WP_005769783.1	
N0.HOG0002494	OG0002258	-	WP_005769867.1	DAKCFMEO_05261
N0.HOG0002495	OG0002259	-	WP_005769869.1	DAKCFMEO_05260
N0.HOG0002496	OG0002260	-	WP_005769871.1	DAKCFMEO_05259
N0.HOG0002497	OG0002261	-	WP_005769873.1	DAKCFMEO_05258
N0.HOG0002498	OG0002262	-	WP_005769875.1	DAKCFMEO_05257
N0.HOG0002499	OG0002263	-	WP_005769877.1	DAKCFMEO_05256
N0.HOG0002500	OG0002264	-	WP_005769977.1	DAKCFMEO_01788
N0.HOG0002501	OG0002265	-	WP_005769982.1	DAKCFMEO_00253
N0.HOG0002502	OG0002266	-	WP_005769995.1	DAKCFMEO_02889
N0.HOG0002503	OG0002267	-	WP_005769998.1	DAKCFMEO_02888
N0.HOG0002504	OG0002268	-	WP_005770000.1	DAKCFMEO_02887
N0.HOG0002505	OG0002269	-	WP_005770005.1	DAKCFMEO_02885
N0.HOG0002506	OG0002270	-	WP_005770009.1	DAKCFMEO_02883
N0.HOG0002507	OG0002271	-	WP_005770011.1	DAKCFMEO_02881
N0.HOG0002508	OG0002272	-	WP_005770014.1	DAKCFMEO_00509
N0.HOG0002509	OG0002273	-	WP_005770015.1	DAKCFMEO_03003
N0.HOG0002510	OG0002274	-	WP_005770017.1	DAKCFMEO_00505
N0.HOG0002511	OG0002275	-	WP_005770019.1	DAKCFMEO_00504
N0.HOG0002512	OG0002276	-	WP_005770041.1	DAKCFMEO_03704
N0.HOG0002513	OG0002277	-	WP_005770069.1	DAKCFMEO_03684
N0.HOG0002514	OG0002278	-	WP_005770077.1	DAKCFMEO_03680
N0.HOG0002515	OG0002279	-	WP_005770079.1	DAKCFMEO_03679
N0.HOG0002516	OG0002280	-	WP_005770081.1	DAKCFMEO_03678
N0.HOG0002517	OG0002281	-	WP_005770085.1	DAKCFMEO_03676
N0.HOG0002518	OG0002282	-	WP_005770090.1	DAKCFMEO_03673
N0.HOG0002519	OG0002283	-	WP_005770099.1	DAKCFMEO_03668
N0.HOG0002520	OG0002284	-	WP_005770108.1	DAKCFMEO_03597
N0.HOG0002521	OG0002285	-	WP_005770109.1	DAKCFMEO_03596
N0.HOG0002522	OG0002286	-	WP_005770111.1	DAKCFMEO_03595
N0.HOG0002523	OG0002287	-	WP_005770114.1	DAKCFMEO_03594
N0.HOG0002524	OG0002288	-	WP_005770116.1	DAKCFMEO_03593
N0.HOG0002525	OG0002289	-	WP_005770118.1	DAKCFMEO_03592
N0.HOG0002526	OG0002290	-	WP_005770120.1	DAKCFMEO_03590
N0.HOG0002527	OG0002291	-	WP_005770129.1	DAKCFMEO_03587
N0.HOG0002528	OG0002292	-	WP_005770132.1	DAKCFMEO_03585
N0.HOG0002529	OG0002293	-	WP_005770134.1	DAKCFMEO_03582
N0.HOG0002530	OG0002294	-	WP_005770159.1	DAKCFMEO_00553
N0.HOG0002531	OG0002295	-	WP_005770161.1	DAKCFMEO_00554
N0.HOG0002532	OG0002296	-	WP_005770183.1	DAKCFMEO_00559
N0.HOG0002533	OG0002297	-	WP_005770185.1	DAKCFMEO_00561
N0.HOG0002534	OG0002298	-	WP_005770186.1	DAKCFMEO_00562
N0.HOG0002535	OG0002299	-	WP_005770187.1	DAKCFMEO_00563
N0.HOG0002536	OG0002300	-	WP_005770190.1	DAKCFMEO_00566
N0.HOG0002537	OG0002301	-	WP_005770191.1	DAKCFMEO_00567
N0.HOG0002538	OG0002302	-	WP_005770220.1	DAKCFMEO_00576
N0.HOG0002539	OG0002303	-	WP_005770225.1	DAKCFMEO_00578
N0.HOG0002540	OG0002304	-	WP_005770235.1	DAKCFMEO_00583
N0.HOG0002541	OG0002305	-	WP_005770243.1	DAKCFMEO_04789
N0.HOG0002542	OG0002306	-	WP_005770245.1	DAKCFMEO_04790
N0.HOG0002543	OG0002307	-	WP_005770293.1	DAKCFMEO_01005
N0.HOG0002544	OG0002308	-	WP_005770316.1	DAKCFMEO_00834
N0.HOG0002545	OG0002309	-	WP_005770393.1	DAKCFMEO_04171
N0.HOG0002546	OG0002310	-	WP_005770403.1	DAKCFMEO_04163
N0.HOG0002547	OG0002311	-	WP_005770416.1	DAKCFMEO_04154
N0.HOG0002548	OG0002312	-	WP_005770425.1	DAKCFMEO_04148
N0.HOG0002549	OG0002313	-	WP_005770431.1	DAKCFMEO_04141
N0.HOG0002550	OG0002314	-	WP_005770433.1	DAKCFMEO_04140
N0.HOG0002551	OG0002315	-	WP_005770435.1	DAKCFMEO_04139
N0.HOG0002552	OG0002316	-	WP_005770437.1	DAKCFMEO_04138
N0.HOG0002553	OG0002317	-	WP_005770439.1	DAKCFMEO_04134
N0.HOG0002554	OG0002318	-	WP_005770446.1	DAKCFMEO_04132
N0.HOG0002555	OG0002319	-	WP_005770450.1	DAKCFMEO_04131
N0.HOG0002556	OG0002320	-	WP_005770452.1	DAKCFMEO_04130
N0.HOG0002557	OG0002321	-	WP_005770454.1	DAKCFMEO_04129
N0.HOG0002558	OG0002322	-	WP_005770456.1	DAKCFMEO_04128
N0.HOG0002559	OG0002323	-	WP_005770458.1	DAKCFMEO_04127
N0.HOG0002560	OG0002324	-	WP_005770460.1	DAKCFMEO_04126
N0.HOG0002561	OG0002325	-	WP_005770464.1	DAKCFMEO_04183
N0.HOG0002562	OG0002326	-	WP_005770465.1	DAKCFMEO_04184
N0.HOG0002563	OG0002327	-	WP_005770467.1	DAKCFMEO_04185
N0.HOG0002564	OG0002328	-	WP_005770474.1	DAKCFMEO_04190
N0.HOG0002565	OG0002329	-	WP_005770490.1	DAKCFMEO_01644
N0.HOG0002566	OG0002330	-	WP_005770492.1	DAKCFMEO_01645
N0.HOG0002567	OG0002331	-	WP_005770496.1	DAKCFMEO_01649
N0.HOG0002568	OG0002332	-	WP_005770497.1	DAKCFMEO_01650
N0.HOG0002569	OG0002333	-	WP_005770507.1	DAKCFMEO_01659
N0.HOG0002570	OG0002334	-	WP_005770519.1	DAKCFMEO_01667
N0.HOG0002571	OG0002335	-	WP_005770545.1	DAKCFMEO_00481
N0.HOG0002572	OG0002336	-	WP_005770547.1	DAKCFMEO_00482
N0.HOG0002573	OG0002337	-	WP_005770558.1	DAKCFMEO_00489
N0.HOG0002574	OG0002338	-	WP_005770562.1	DAKCFMEO_00491
N0.HOG0002575	OG0002339	-	WP_005770566.1	DAKCFMEO_00493
N0.HOG0002576	OG0002340	-	WP_005770572.1	DAKCFMEO_00496
N0.HOG0002577	OG0002341	-	WP_005770586.1	DAKCFMEO_04270
